,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.77,0.79,0.91,0.72,0.81,0.5,0.66,0.44,0.38,0.45,0.4,0.39,0.39,0.33,0.44
f_1,1.3,1.0,0.87,0.9,0.85,0.65,0.46,0.4,0.42,0.43,0.3,0.31,0.31,0.27,0.32,0.2
d_1,1.26,1.15,1.0,0.82,0.78,0.76,0.52,0.46,0.34,0.59,0.39,0.41,0.36,0.34,0.26,0.33
c_1,1.09,1.11,1.23,1.0,1.24,0.65,0.52,0.31,0.49,0.34,0.4,0.36,0.33,0.35,0.26,0.31
b_1,1.38,1.17,1.28,0.8,1.0,1.29,0.65,0.41,0.61,0.4,0.72,0.55,0.42,0.53,0.39,0.46
a_1,1.24,1.54,1.32,1.55,0.78,1.0,0.77,0.61,0.63,0.56,0.63,0.54,0.53,0.49,0.65,0.43
h_1,1.99,2.22,1.97,1.92,1.54,1.25,1.0,0.75,1.03,0.86,0.78,0.8,0.63,0.57,0.7,0.7
d_0,1.41,2.65,2.0,3.22,2.44,1.7,1.32,1.0,1.04,0.76,0.88,0.83,0.67,0.72,0.71,0.77
g_1,2.22,2.28,2.92,2.1,1.67,1.59,0.97,0.92,1.0,1.0,0.88,1.28,0.84,0.6,1.01,0.81
c_0,2.7,2.4,1.75,2.92,2.59,1.65,1.22,1.28,0.99,1.0,1.33,1.06,0.78,0.96,0.94,0.75
b_0,2.15,3.4,2.69,2.59,,1.49,1.29,1.2,1.15,0.71,1.0,0.93,1.09,0.85,0.82,0.92
f_0,2.44,3.49,2.48,2.7,1.85,1.75,1.24,1.22,0.78,0.91,1.0,1.0,0.95,0.9,0.75,1.28
a_0,2.43,3.28,2.73,3.34,2.53,,1.55,1.58,1.25,1.32,0.87,1.04,1.0,1.1,0.97,1.06
h_0,2.56,3.83,2.93,2.93,2.01,2.09,1.68,1.4,1.66,1.01,1.14,1.06,0.93,1.0,1.24,0.84
g_0,3.03,3.13,3.69,3.74,2.49,1.52,1.44,1.36,,1.02,1.24,1.37,1.02,0.82,1.0,0.84
e_0,2.24,4.98,3.04,3.07,2.39,2.2,1.48,1.32,1.21,1.36,1.12,0.8,0.98,1.17,1.12,1.0
