,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.14,8.02,11.31,9.58,11.13,9.96,2.23,1.9,2.99,1.84,2.07,7.89,1.43,2.41,2.41,2.42
e_1,5.57,1.14,10.98,10.3,11.89,11.11,3.03,2.62,4.36,2.29,1.9,2.89,1.84,16.64,2.32,1.79
c_1,9.78,13.24,1.14,16.36,13.83,12.4,3.51,1.3,3.67,7.38,2.9,2.15,1.62,1.58,1.98,1.71
d_1,13.74,19.79,12.64,1.14,12.15,11.17,3.87,12.8,2.38,2.27,2.93,2.58,1.8,3.05,3.09,1.18
b_1,16.84,15.67,7.19,17.11,1.15,19.08,3.79,3.94,3.42,4.38,14.24,2.82,1.86,2.39,2.85,1.71
a_1,21.26,22.93,18.85,26.59,9.19,1.15,6.7,6.18,6.74,4.92,4.5,4.04,2.83,3.55,14.48,3.8
h_1,25.89,24.9,30.06,23.63,30.7,27.32,1.87,5.47,7.88,5.55,4.75,4.59,11.76,4.36,4.47,3.58
d_0,43.25,15.6,35.5,119.12,31.39,25.59,10.05,2.67,9.76,7.86,5.79,5.05,4.26,7.04,5.93,4.85
g_1,44.26,29.61,37.92,34.23,37.25,37.44,7.51,6.58,1.92,6.51,7.03,6.47,3.96,7.47,6.35,13.12
c_0,38.84,40.87,139.04,15.59,40.49,43.96,10.16,9.43,9.08,2.64,7.98,9.18,4.56,6.54,8.23,5.0
b_0,48.18,30.08,68.1,31.68,164.35,40.44,15.16,7.97,11.08,3.62,2.62,8.42,5.97,9.15,7.1,6.3
f_0,158.58,39.17,44.49,48.82,36.29,40.44,12.17,8.74,8.38,7.76,7.12,2.52,7.05,6.31,8.23,3.18
h_0,74.63,50.81,66.74,42.54,50.8,49.32,43.2,10.54,18.69,12.1,14.24,12.02,15.52,9.38,10.97,9.55
e_0,86.5,139.26,68.1,46.53,54.78,43.02,14.4,9.96,15.57,11.63,10.98,6.64,6.36,2.93,12.93,6.3
a_0,62.39,40.87,72.54,63.36,93.13,144.43,18.0,11.56,15.95,9.03,5.73,13.65,9.7,15.91,2.81,9.55
g_0,118.94,70.94,64.17,55.15,68.15,69.72,18.38,13.53,59.45,13.15,12.26,11.22,6.93,9.63,10.97,24.23
