,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.49,0.72,0.41,0.47,0.42,0.36,0.5,0.5,0.48,0.55,0.55,0.25,0.48,0.54,0.31,0.47
e_1,0.46,1.51,0.47,0.5,0.42,0.33,0.51,0.57,0.58,0.88,0.58,0.54,0.51,0.56,0.24,0.45
d_1,0.54,0.46,1.52,0.55,0.37,0.37,0.52,0.46,0.83,0.3,0.5,0.46,0.44,0.55,0.48,0.51
c_1,0.5,0.43,0.38,1.56,0.82,0.36,0.57,0.47,0.24,0.41,0.5,0.55,0.48,0.63,0.48,0.63
b_1,0.48,0.47,0.55,0.34,1.6,0.59,0.7,0.53,0.59,0.54,0.3,0.63,0.44,0.54,0.51,0.46
a_1,0.49,0.5,0.6,0.56,0.43,1.77,0.63,0.45,0.56,0.61,0.56,0.48,,0.65,0.51,0.73
h_1,0.97,0.72,0.76,0.71,0.58,0.58,1.65,0.85,0.79,0.8,0.77,0.85,0.81,0.77,0.76,1.08
g_1,0.62,0.66,1.09,0.72,0.63,0.72,0.84,1.77,1.02,0.83,0.79,1.17,0.72,0.87,0.91,0.57
c_0,1.02,0.84,0.68,0.37,0.62,0.65,0.92,0.7,1.52,1.01,1.56,0.87,0.76,0.97,0.73,0.9
d_0,0.89,0.6,0.51,1.25,0.61,0.66,0.88,0.93,0.77,1.51,0.84,0.9,0.88,0.99,0.79,0.85
b_0,0.92,0.73,0.9,0.79,0.44,0.44,1.03,0.93,0.77,1.14,1.59,0.89,1.2,1.27,0.9,1.06
f_0,0.69,0.71,1.06,0.74,0.74,0.61,0.93,0.7,0.88,0.95,1.13,1.6,0.79,0.96,1.22,0.8
a_0,0.86,0.9,0.91,0.91,0.62,,1.02,1.05,1.03,0.88,0.75,1.01,1.63,1.3,0.88,0.79
h_0,1.08,0.79,0.98,0.76,0.72,0.52,0.44,0.97,0.9,0.89,0.74,0.99,0.69,0.64,0.77,1.07
e_0,1.28,0.44,0.94,0.89,0.81,0.47,0.88,0.79,1.15,0.85,0.87,0.8,0.73,1.17,1.73,1.05
g_0,0.84,0.73,1.19,0.72,0.86,0.61,0.86,0.48,1.05,0.93,0.86,1.34,0.97,0.9,0.82,0.56
