,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.05,1.21,1.74,1.87,1.74,1.48,0.65,0.6,0.69,0.5,0.5,0.56,0.44,0.48,0.62,0.44
f_1,1.72,1.05,1.59,1.86,1.66,1.41,0.46,0.52,0.65,0.45,0.44,0.54,0.32,0.4,0.35,0.44
d_1,2.15,2.09,1.05,1.7,1.69,1.39,0.66,0.71,0.49,0.6,0.54,0.48,0.43,0.45,0.47,0.3
c_1,1.6,1.83,2.15,1.05,1.83,1.54,0.78,0.36,0.68,0.68,0.46,0.53,0.45,0.48,0.45,0.36
b_1,2.17,2.28,1.95,1.42,1.06,2.03,0.94,0.69,0.65,0.74,0.83,0.59,0.45,0.57,0.52,0.48
a_1,2.88,2.82,2.66,2.89,1.67,1.06,1.18,0.98,1.07,0.85,1.0,0.88,0.67,0.82,0.73,0.65
h_1,4.7,5.88,4.55,4.76,4.44,3.69,1.27,1.42,1.73,1.25,1.35,1.13,1.29,1.13,1.0,0.98
d_0,3.81,5.64,6.79,6.8,5.64,4.55,2.22,1.42,2.12,1.53,1.58,1.72,1.36,1.47,1.38,1.44
g_1,5.46,5.39,5.81,5.7,6.22,4.57,1.87,1.78,1.29,1.65,1.59,1.85,1.06,1.38,1.41,1.49
c_0,6.97,6.81,4.12,7.98,5.43,5.12,2.6,2.31,2.28,1.39,2.2,1.9,1.32,1.65,1.75,1.28
b_0,6.22,6.97,5.69,7.54,6.89,4.74,2.4,2.06,2.53,1.23,1.46,1.64,1.41,1.97,1.6,1.21
f_0,6.67,8.63,6.55,6.41,6.31,5.16,2.87,2.11,1.73,1.82,1.92,1.41,1.43,1.87,2.09,1.06
h_0,8.3,8.23,7.3,7.09,7.66,5.9,3.18,2.36,2.95,2.34,2.07,2.28,2.0,1.74,1.64,1.75
a_0,8.77,9.55,7.87,8.84,9.25,8.25,3.33,3.02,3.2,2.24,1.51,2.37,1.93,1.48,2.01,2.06
e_0,9.83,12.47,7.71,8.73,8.26,7.33,3.9,3.05,2.79,2.36,2.55,1.55,2.14,2.13,1.53,1.74
g_0,8.48,9.04,9.76,9.51,8.14,6.97,2.92,2.49,3.52,2.56,2.81,2.73,1.67,2.2,2.11,1.99
