,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.88,1.1,1.44,1.64,3.43,18.78,34.6,31.62,32.1,40.4,48.7,74.61,102.75,126.16,117.28
f_1,1.13,1.0,1.08,1.3,1.59,3.32,13.44,25.51,30.38,31.15,35.54,38.62,54.7,76.49,76.87,103.04
d_1,0.91,0.94,1.0,0.83,1.36,2.58,15.34,23.84,20.91,38.74,35.75,34.81,62.63,69.97,89.98,65.97
c_1,0.69,0.77,1.22,1.0,1.67,2.51,16.58,15.25,23.92,26.61,27.82,37.96,59.41,74.12,81.66,71.34
b_1,0.62,0.63,0.74,0.59,1.0,2.8,12.62,16.82,15.52,21.99,25.61,26.68,36.05,56.71,62.92,68.66
a_1,0.29,0.3,0.39,0.39,0.36,1.0,6.22,8.99,9.53,10.78,14.54,14.68,22.23,27.04,27.51,31.52
h_1,0.05,0.07,0.06,0.06,0.08,0.16,1.0,1.33,1.72,1.59,2.2,2.1,3.66,4.71,4.19,5.7
d_0,0.03,0.04,0.04,0.07,0.06,0.12,0.77,1.0,1.09,1.13,1.46,1.75,2.51,2.96,3.56,4.43
g_1,0.03,0.03,0.05,0.04,0.06,0.1,0.59,0.91,1.0,1.13,1.33,2.03,2.06,3.03,3.19,4.1
c_0,0.03,0.03,0.03,0.04,0.04,0.09,0.61,0.87,0.87,1.0,1.68,1.44,1.78,2.87,2.99,2.83
b_0,0.02,0.03,0.03,0.04,0.04,0.07,0.45,0.67,0.75,0.61,1.0,1.02,1.65,3.38,2.48,2.36
f_0,0.02,0.02,0.03,0.03,0.04,0.07,0.49,0.55,0.54,0.7,0.94,1.0,1.35,2.24,3.44,1.81
h_0,0.01,0.02,0.02,0.02,0.03,0.05,0.27,0.39,0.48,0.53,0.58,0.75,1.0,1.24,1.34,1.68
a_0,0.01,0.01,0.01,0.01,0.02,0.04,0.21,0.32,0.35,0.37,0.31,0.45,0.8,1.0,1.15,1.19
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.24,0.28,0.29,0.34,0.43,0.32,0.74,0.88,1.0,1.02
g_0,0.01,0.01,0.02,0.01,0.02,0.03,0.17,0.22,0.25,0.33,0.44,0.55,0.57,0.85,0.98,1.0
