,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.38,1.18,1.55,2.06,3.2,16.47,27.74,38.17,29.67,59.58,51.75,86.86,90.85,92.53,160.05
e_1,0.72,1.0,1.14,1.51,1.61,4.16,20.87,37.21,33.79,36.88,42.44,76.9,94.65,153.66,112.67,159.79
d_1,0.85,0.88,1.0,0.94,1.45,2.89,14.68,29.7,20.94,36.33,45.67,51.11,83.79,97.5,94.54,91.18
c_1,0.64,0.66,1.07,1.0,1.79,2.59,14.33,15.77,19.69,23.06,37.79,54.34,82.65,78.06,73.46,104.01
b_1,0.49,0.62,0.69,0.56,1.0,3.06,10.46,15.66,15.38,16.27,35.17,28.44,42.47,37.5,45.25,64.63
a_1,0.31,0.24,0.35,0.39,0.33,1.0,5.08,8.62,7.45,10.14,17.6,25.02,25.82,34.51,40.27,53.48
h_1,0.06,0.05,0.07,0.07,0.1,0.18,1.0,1.59,2.39,1.63,2.66,3.6,4.69,5.61,5.01,9.72
d_0,0.04,0.03,0.04,0.06,0.06,0.12,0.66,1.0,0.9,1.1,1.66,2.7,3.11,3.52,3.47,6.19
g_1,0.03,0.03,0.05,0.05,0.07,0.13,0.42,1.07,1.0,0.82,1.58,2.75,2.94,3.63,3.54,4.2
c_0,0.03,0.03,0.03,0.04,0.06,0.1,0.63,0.95,1.2,1.0,2.26,2.15,3.15,3.22,3.7,5.22
b_0,0.02,0.02,0.02,0.03,0.03,0.05,0.41,0.57,0.64,0.45,1.0,1.39,1.7,2.0,2.79,2.42
f_0,0.02,0.01,0.02,0.02,0.04,0.04,0.27,0.37,0.35,0.48,0.75,1.0,1.32,1.97,1.37,1.81
h_0,0.01,0.01,0.01,0.01,0.02,0.04,0.21,0.31,0.35,0.32,0.55,0.75,1.0,1.06,1.24,2.15
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.18,0.29,0.28,0.31,0.51,0.48,0.91,1.0,0.83,1.93
a_0,0.01,0.01,0.01,0.01,0.02,,0.2,0.29,0.31,0.28,0.36,0.68,0.82,1.25,1.0,1.52
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.11,0.16,0.24,0.19,0.35,0.58,0.48,0.59,0.67,1.0
