,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.62,1.02,1.11,1.05,0.68,0.68,0.74,0.89,0.69,0.61,0.59,0.52,,0.78,0.55
f_1,1.62,1.0,0.92,0.87,0.91,0.85,0.64,0.71,0.65,0.68,,0.66,0.62,0.57,0.39,0.52
d_1,0.98,1.08,1.0,0.92,0.92,0.83,0.67,0.44,,0.98,0.62,0.74,0.64,0.66,0.5,0.59
c_1,0.9,1.15,1.09,1.0,1.17,1.07,0.66,0.67,0.52,,0.66,0.66,0.55,0.56,0.6,0.66
b_1,0.96,1.1,1.09,0.86,1.0,1.1,0.75,0.74,0.58,0.74,0.55,,0.8,0.62,0.52,
a_1,1.47,1.17,1.2,0.93,0.91,1.0,0.85,0.77,0.77,0.86,0.73,0.74,0.6,,0.6,
h_1,1.48,1.57,1.5,1.5,1.33,1.18,1.0,0.88,0.91,1.0,1.04,0.91,,0.69,0.82,0.68
g_1,1.35,1.42,2.28,1.5,1.35,1.3,1.14,1.0,0.85,0.87,0.94,1.1,0.71,0.74,,0.82
d_0,1.13,1.55,,1.94,1.72,1.3,1.1,1.18,1.0,0.85,0.94,0.87,1.13,,0.84,0.78
c_0,1.45,1.48,1.02,,1.36,1.16,1.0,1.14,1.17,1.0,1.16,1.61,0.89,0.85,0.85,0.97
f_0,1.64,,1.61,1.52,1.8,1.36,0.96,1.06,1.07,0.86,1.0,0.64,0.89,1.56,0.68,1.03
b_0,1.69,1.5,1.35,1.51,,1.35,1.1,0.91,1.15,0.62,1.55,1.0,1.05,0.92,1.25,1.3
h_0,1.94,1.6,1.56,1.81,1.25,1.67,,1.41,0.88,1.13,1.13,0.95,,0.82,1.29,0.81
e_0,,1.77,1.52,1.8,1.62,,1.44,1.35,,1.18,0.64,1.09,1.22,1.0,0.95,0.94
g_0,1.28,2.55,2.0,1.68,1.93,1.67,1.22,,1.19,1.18,1.48,0.8,0.78,1.05,,
a_0,1.82,1.91,1.7,1.52,,,1.48,1.22,1.28,1.03,0.97,0.77,1.23,1.06,,1.0
