,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.69,0.87,0.73,1.0,0.78,0.73,0.94,1.03,0.93,1.51,0.94,1.0,1.02,1.04,0.77,0.95
f_1,1.29,1.8,0.74,0.83,0.69,0.71,0.92,0.81,0.86,1.04,0.62,0.95,0.96,0.92,0.71,0.82
d_1,0.77,0.83,1.92,0.64,0.74,0.84,1.02,0.99,1.65,0.64,1.1,1.25,1.0,0.95,1.07,1.15
c_1,0.69,0.74,0.83,2.03,1.4,0.78,0.98,0.91,0.55,0.85,0.98,0.66,0.95,0.91,1.03,0.87
b_1,0.74,0.82,0.83,0.83,2.16,1.4,0.9,0.96,0.88,0.81,1.03,0.64,0.69,0.98,0.92,0.92
a_1,0.88,0.84,0.88,0.8,0.71,2.85,1.08,1.03,0.97,1.01,1.02,1.06,0.76,1.21,1.14,1.05
h_1,0.82,1.12,0.89,0.88,0.83,0.79,1.68,1.25,0.91,0.89,0.92,1.13,0.99,0.84,1.04,1.24
g_1,0.81,0.82,1.25,0.85,0.88,0.72,0.93,1.84,0.99,0.83,1.39,0.9,0.95,1.09,1.05,0.89
c_0,0.88,0.96,1.02,0.74,0.7,0.83,1.09,1.06,1.51,0.98,1.13,1.94,1.32,1.16,1.28,1.24
d_0,0.8,0.95,0.7,1.44,0.95,0.67,0.97,0.98,0.75,1.42,0.96,0.94,1.07,1.12,1.15,0.98
f_0,0.73,0.76,1.0,0.96,0.8,0.84,1.01,0.97,1.1,1.17,1.83,1.15,1.21,1.04,2.22,1.29
b_0,0.86,1.06,0.97,0.97,0.68,0.61,1.06,1.04,1.04,1.11,1.17,1.74,2.1,1.13,1.1,1.31
a_0,0.88,0.99,0.95,0.9,0.79,0.64,1.14,1.11,1.04,0.99,1.18,1.07,2.12,1.1,0.96,1.18
h_0,0.89,1.2,0.96,0.82,0.78,0.82,0.77,1.22,0.99,0.93,0.99,0.92,1.02,0.9,0.9,1.3
e_0,0.78,1.04,0.94,0.82,0.94,0.68,1.12,0.96,1.08,1.02,1.23,1.24,1.28,1.05,2.07,1.12
g_0,0.82,0.78,1.33,0.85,0.77,0.71,0.94,0.8,1.05,0.89,1.56,1.13,1.15,1.0,1.27,0.93
