,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.88,0.76,1.11,0.95,0.79,0.51,0.5,0.64,0.45,0.48,0.45,0.37,0.34,0.36,0.32
d_1,1.13,1.0,1.12,0.85,0.89,0.73,0.52,0.39,0.42,0.54,0.45,0.39,0.31,0.37,0.29,0.27
f_1,1.34,0.9,1.0,0.93,0.9,0.71,0.38,0.45,0.42,0.42,0.41,0.39,0.31,0.33,0.26,0.34
c_1,0.91,1.2,1.07,1.0,1.31,0.68,0.48,0.48,0.32,0.39,0.35,0.34,0.36,0.33,0.31,0.3
b_1,1.04,1.08,1.12,0.77,1.0,1.17,0.65,0.54,0.48,0.52,0.41,0.44,0.37,0.31,0.35,0.34
a_1,1.25,1.41,1.38,1.47,0.86,1.0,0.65,0.76,0.63,0.57,0.64,0.58,0.54,0.44,0.47,0.42
h_1,1.88,1.95,2.57,2.12,1.59,1.54,1.0,1.16,0.88,0.87,0.9,0.79,0.78,0.64,0.61,0.71
g_1,2.13,2.61,2.16,2.02,1.84,1.37,0.85,1.0,0.8,0.94,0.83,0.98,0.65,0.64,0.71,0.59
d_0,1.61,2.48,2.33,3.1,2.1,1.52,1.16,1.27,1.0,0.89,1.01,0.85,0.79,0.76,0.76,0.67
c_0,2.24,1.85,2.35,2.38,1.92,1.69,1.14,1.07,1.17,1.0,1.37,1.08,0.86,0.86,0.79,0.7
b_0,2.03,2.19,2.39,2.89,2.49,1.63,1.11,1.21,1.03,0.7,1.0,1.01,0.81,1.03,0.78,0.71
f_0,2.25,2.52,2.67,2.95,2.15,1.65,1.31,1.04,1.16,0.99,0.99,1.0,0.94,0.77,1.19,0.6
h_0,2.8,3.25,3.34,2.74,2.54,1.87,1.29,1.51,1.2,1.15,1.23,1.04,1.0,0.95,0.84,0.97
a_0,2.9,2.78,3.02,2.95,3.41,2.04,1.63,1.62,1.28,1.12,0.96,1.29,1.08,1.0,1.0,0.85
e_0,2.81,3.35,3.77,3.23,2.87,1.98,1.66,1.36,1.35,1.38,1.33,0.85,1.14,1.02,1.0,0.87
g_0,3.17,3.9,3.03,3.21,2.83,2.47,1.37,1.7,1.44,1.4,1.42,1.61,1.02,1.15,1.14,1.0
