,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.65,1.02,0.73,1.37,1.15,0.96,0.53,0.51,0.4,0.51,0.5,0.41,0.37,0.4,0.46,0.36
d_1,1.24,0.64,1.09,1.09,1.12,0.92,0.48,0.33,0.43,0.53,0.39,0.34,0.32,0.38,0.37,0.23
f_1,1.2,1.07,0.65,1.02,1.06,0.93,0.4,0.53,0.37,0.4,0.43,0.36,0.25,0.35,0.32,0.37
c_1,0.87,1.37,1.19,0.63,1.26,0.95,0.49,0.59,0.55,0.26,0.41,0.37,0.32,0.35,0.39,0.29
b_1,1.16,1.22,1.32,0.72,0.62,1.28,0.56,0.58,0.49,0.42,0.4,0.5,0.37,0.4,0.43,0.34
a_1,1.38,1.41,1.57,1.36,0.75,0.58,0.63,0.61,0.54,0.61,0.51,0.76,0.38,0.69,0.47,0.38
h_1,1.61,1.65,1.82,1.74,1.59,1.64,0.56,0.74,0.59,0.63,0.61,0.62,0.61,0.51,0.52,0.55
g_1,1.91,1.97,1.83,1.94,1.73,1.62,0.7,0.53,0.66,0.72,0.65,0.71,0.42,0.6,0.61,0.63
c_0,2.04,1.29,1.99,2.54,2.39,1.87,0.88,0.76,0.56,1.05,0.66,0.82,0.62,0.74,0.63,0.58
d_0,1.25,2.79,1.94,2.43,1.96,1.68,0.92,0.93,0.66,0.56,0.74,0.77,0.6,0.64,0.7,0.67
f_0,1.85,1.88,2.71,1.94,2.25,1.76,0.91,0.67,0.72,0.8,0.55,0.69,0.65,0.66,0.81,0.44
b_0,1.94,1.89,2.18,3.11,2.72,1.61,0.88,0.79,0.46,0.77,0.69,0.55,0.64,0.82,0.66,0.54
h_0,2.11,2.25,2.71,2.19,2.04,2.02,1.11,1.2,0.88,0.9,0.75,0.72,0.76,0.7,0.66,0.71
a_0,2.6,1.99,2.27,2.59,2.69,2.22,1.15,1.07,0.74,0.86,0.84,0.48,0.75,0.54,0.8,0.77
e_0,2.74,2.17,3.15,2.27,2.04,1.86,1.06,0.97,0.87,0.84,0.49,0.88,0.72,0.8,0.53,0.65
g_0,2.4,2.45,2.5,2.27,2.26,2.36,0.86,1.1,0.86,0.87,0.91,0.85,0.57,0.65,0.76,0.8
