,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,0.66,0.89,1.43,1.3,1.33,1.28,0.67,0.58,0.62,0.47,0.53,0.47,0.43,0.43,0.4,0.66
f_1,1.42,0.65,1.35,1.09,1.35,1.22,0.48,0.5,0.57,0.47,0.49,0.41,0.28,0.4,0.41,0.39
c_1,1.07,1.4,0.64,1.64,1.59,1.22,0.56,0.31,0.55,0.62,0.45,0.46,0.46,0.45,0.45,0.4
d_1,1.6,1.53,1.26,0.64,1.3,1.02,0.56,0.83,0.43,0.55,0.46,0.55,0.4,0.47,0.29,0.41
b_1,1.47,1.49,0.9,1.49,0.63,1.54,0.71,0.53,0.73,0.56,0.55,0.75,0.42,0.5,0.36,0.43
a_1,1.74,1.64,1.64,1.82,0.88,0.58,0.77,0.73,0.72,0.69,0.68,0.94,0.51,0.83,0.59,0.8
h_1,1.96,2.26,2.1,1.86,1.74,1.77,0.58,0.69,0.89,0.61,0.61,0.62,0.65,0.62,0.58,0.57
d_0,1.28,2.32,2.61,2.81,2.41,1.87,1.09,0.62,1.01,0.69,0.73,0.65,0.68,0.73,0.66,0.72
g_1,2.14,2.38,2.36,2.34,1.94,1.85,0.8,0.89,0.55,0.78,0.82,0.75,0.53,0.8,0.72,0.68
c_0,2.36,2.27,3.52,1.4,2.22,2.01,1.15,1.35,1.02,0.59,0.78,0.9,0.61,0.86,0.61,0.72
f_0,2.17,3.65,2.4,2.23,2.16,1.9,1.1,0.89,0.67,0.79,0.6,0.86,0.73,0.76,0.47,1.03
b_0,2.54,2.52,2.86,1.93,2.82,1.93,1.15,0.96,1.16,0.52,0.77,0.56,0.65,0.91,0.59,0.76
h_0,2.46,3.02,2.17,2.31,2.41,2.32,1.5,1.01,1.21,0.97,0.85,0.93,0.92,0.86,0.81,0.75
a_0,2.55,2.8,2.73,2.67,2.95,3.02,1.18,0.92,1.1,0.89,0.83,0.57,0.76,0.55,0.79,0.79
g_0,2.71,2.72,2.52,2.67,2.98,2.42,1.07,1.09,1.57,0.99,1.07,1.02,0.61,1.0,0.89,0.9
e_0,3.25,3.51,3.07,2.88,2.9,2.05,1.2,1.04,1.32,1.07,0.57,0.97,0.88,0.93,0.68,0.56
