,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,17.42,0.68,0.47,0.38,0.5,0.63,1.0,0.38,2.09,0.85,1.21,1.06,0.9,1.15,1.08,0.91
f_1,0.47,15.43,1.31,0.57,0.42,0.51,0.91,0.85,0.89,0.75,0.92,0.38,0.97,0.74,0.55,0.74
e_1,0.45,0.6,17.93,0.7,0.57,0.54,0.73,2.2,0.84,0.85,0.84,0.93,1.03,0.97,0.49,1.03
c_1,0.61,0.46,0.49,18.38,1.36,0.39,0.83,0.83,0.34,0.83,0.63,0.9,0.88,0.95,1.01,0.99
b_1,0.57,0.51,0.45,0.62,20.2,1.32,0.89,1.02,0.63,0.86,0.45,0.92,0.79,0.56,1.0,0.75
a_1,0.62,0.79,0.51,0.59,0.37,28.34,0.91,0.78,0.78,0.92,0.92,0.93,1.1,0.46,0.82,1.03
h_1,0.8,1.2,0.7,0.73,0.68,0.72,4.72,0.93,1.11,1.41,1.04,1.17,0.67,1.06,1.27,1.52
d_0,0.27,0.61,0.61,1.9,0.88,0.91,1.12,2.9,0.81,1.07,1.35,1.1,1.28,1.26,1.13,1.38
c_0,0.95,0.78,0.71,0.45,0.55,0.7,1.44,1.17,2.93,1.28,3.0,1.49,1.28,1.71,1.21,1.34
g_1,1.57,0.54,0.5,0.76,0.79,0.62,1.05,0.85,1.09,5.96,1.23,2.46,1.28,0.84,1.36,0.83
b_0,0.89,0.85,0.73,0.83,0.32,0.5,1.4,1.08,1.46,1.25,4.04,1.35,1.72,3.46,1.56,1.45
f_0,1.03,0.36,0.58,0.78,0.91,0.52,1.07,0.91,1.52,1.46,1.43,3.89,1.43,1.25,3.92,1.18
h_0,0.75,1.17,0.61,0.72,0.71,0.81,0.65,1.03,1.19,1.84,1.44,1.16,0.67,1.35,1.28,1.97
a_0,0.95,0.8,0.73,0.89,0.58,0.3,1.45,1.24,1.33,1.24,1.53,1.18,1.62,4.79,1.46,1.25
e_0,0.92,0.83,0.45,0.76,0.94,0.57,1.07,1.12,1.57,1.21,1.15,1.4,1.73,1.48,4.68,1.91
g_0,1.7,0.63,0.43,0.7,0.78,0.74,0.98,0.77,1.23,0.75,1.23,2.3,1.15,1.18,1.64,0.98
