,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,1.05,0.77,1.78,1.95,3.38,25.09,26.58,35.99,27.94,49.56,48.05,100.76,105.54,129.89,161.76
d_1,0.96,1.0,1.13,1.17,1.74,3.07,21.13,17.42,22.18,37.91,35.0,42.43,72.53,90.89,103.5,85.73
f_1,1.31,0.88,1.0,1.25,1.38,2.35,14.96,21.42,27.95,27.2,29.16,34.66,44.11,64.15,84.29,127.45
c_1,0.56,0.86,0.8,1.0,1.97,2.07,15.91,16.67,15.02,16.62,28.97,25.75,60.77,55.15,77.12,81.62
b_1,0.51,0.57,0.72,0.51,1.0,2.68,12.46,13.15,16.79,21.84,23.3,30.37,44.82,50.57,44.54,87.23
a_1,0.3,0.33,0.43,0.48,0.37,1.0,7.32,6.69,6.99,10.11,13.71,14.41,22.77,29.98,34.01,43.3
h_1,0.04,0.05,0.07,0.06,0.08,0.14,1.0,1.29,1.29,1.56,1.9,1.81,4.86,5.16,6.0,8.2
g_1,0.04,0.06,0.05,0.06,0.07,0.15,0.77,1.0,1.32,1.28,2.56,1.96,2.64,3.73,4.67,5.67
d_0,0.03,0.04,0.04,0.07,0.06,0.16,0.81,0.78,1.0,1.07,1.38,1.17,2.67,3.01,3.39,4.98
c_0,0.03,0.03,0.04,0.06,0.05,0.09,0.63,0.75,0.94,1.0,1.56,1.78,2.49,2.83,3.18,4.44
f_0,0.02,0.03,0.03,0.04,0.04,0.07,0.52,0.37,0.74,0.62,1.0,0.97,2.2,3.08,2.25,2.89
b_0,0.02,0.02,0.03,0.04,0.03,0.07,0.54,0.53,0.87,0.59,1.09,1.0,1.67,1.85,3.53,3.1
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.19,0.38,0.36,0.39,0.49,0.59,1.0,1.1,1.2,1.61
e_0,0.01,0.01,0.02,0.02,0.02,0.03,0.2,0.28,0.34,0.35,0.34,0.54,0.96,1.0,1.28,1.29
a_0,0.01,0.01,0.01,0.01,0.02,,0.19,0.22,0.33,0.27,0.46,0.28,0.86,0.75,1.0,1.16
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.13,0.17,0.2,0.24,0.35,0.32,0.63,0.75,0.86,1.04
