,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.43,0.8,0.79,0.93,0.96,0.8,0.19,0.19,0.29,0.18,0.17,0.21,0.1,0.15,0.16,0.15
e_1,0.61,0.43,0.91,0.98,0.88,0.84,0.28,0.21,0.28,0.21,0.17,0.24,0.15,0.2,0.26,0.16
d_1,1.07,1.1,0.41,1.04,0.83,0.78,0.23,0.31,0.16,0.18,0.17,0.14,0.13,0.15,0.16,0.09
c_1,0.91,0.81,1.4,0.4,0.92,0.86,0.3,0.13,0.28,0.29,0.2,0.2,0.14,0.19,0.21,0.15
b_1,1.08,1.16,1.19,0.64,0.37,1.0,0.33,0.2,0.29,0.28,0.32,0.19,0.16,0.21,0.19,0.15
a_1,1.4,1.29,1.25,1.3,0.62,0.32,0.41,0.31,0.38,0.28,0.42,0.25,0.18,0.42,0.28,0.18
h_1,1.75,1.56,1.6,1.74,1.61,1.45,0.29,0.38,0.52,0.35,0.31,0.32,0.3,0.31,0.33,0.25
d_0,1.83,1.22,2.49,1.99,2.16,1.95,0.59,0.3,0.62,0.45,0.38,0.41,0.3,0.42,0.43,0.33
g_1,2.09,1.97,1.82,2.04,1.72,1.63,0.42,0.49,0.27,0.36,0.38,0.33,0.23,0.36,0.36,0.3
c_0,2.25,2.12,1.21,2.89,2.26,1.71,0.57,0.62,0.52,0.28,0.37,0.37,0.28,0.34,0.35,0.27
b_0,2.41,2.1,1.78,2.76,3.42,1.97,0.63,0.51,0.58,0.28,0.28,0.43,0.3,0.37,0.37,0.3
f_0,3.48,2.3,2.33,2.79,2.02,1.69,0.75,0.51,0.41,0.47,0.46,0.27,0.31,0.41,0.38,0.21
h_0,2.94,2.59,2.24,2.39,2.46,1.97,0.9,0.56,0.68,0.5,0.45,0.4,0.41,0.43,0.47,0.33
a_0,3.05,2.62,2.07,2.67,2.9,2.77,0.82,0.62,0.64,0.45,0.28,0.45,0.37,0.27,0.53,0.33
e_0,3.54,2.86,2.3,2.93,2.57,2.04,0.68,0.53,0.61,0.5,0.49,0.27,0.34,0.5,0.26,0.37
g_0,3.02,2.85,2.67,2.98,2.67,2.36,0.65,0.65,1.0,0.56,0.56,0.49,0.36,0.59,0.48,0.4
