,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.18,0.43,0.82,0.81,0.86,0.85,0.26,0.15,0.17,0.22,0.17,0.22,0.13,0.15,0.19,0.49
f_1,0.68,0.18,0.73,0.75,0.65,0.69,0.16,0.16,0.15,0.31,0.16,0.39,0.08,0.17,0.14,0.14
d_1,0.96,0.77,0.15,0.78,0.77,0.74,0.22,0.32,0.14,0.13,0.14,0.13,0.11,0.12,0.06,0.15
c_1,0.62,0.87,0.95,0.14,0.87,0.69,0.22,0.08,0.33,0.21,0.16,0.13,0.1,0.17,0.11,0.12
b_1,0.78,0.81,0.97,0.45,0.13,0.8,0.23,0.17,0.21,0.28,0.32,0.13,0.14,0.16,0.11,0.16
a_1,0.86,0.8,0.81,0.98,0.4,0.09,0.21,0.2,0.16,0.28,0.22,0.16,0.11,0.57,0.13,0.13
h_1,0.57,0.65,0.55,0.63,0.64,0.52,0.07,0.14,0.11,0.19,0.13,0.13,0.2,0.12,0.1,0.13
d_0,0.34,0.69,1.37,0.64,0.62,0.62,0.18,0.07,0.14,0.2,0.15,0.14,0.1,0.12,0.1,0.13
c_0,0.61,0.69,0.29,1.81,0.63,0.72,0.2,0.18,0.06,0.16,0.13,0.13,0.1,0.14,0.09,0.15
g_1,0.65,0.8,0.49,0.67,0.72,0.59,0.12,0.15,0.13,0.04,0.13,0.11,0.06,0.13,0.18,0.14
b_0,0.49,0.6,0.52,0.99,1.41,0.65,0.18,0.13,0.06,0.17,0.06,0.1,0.08,0.11,0.08,0.16
f_0,0.59,1.26,0.48,0.59,0.75,0.72,0.18,0.13,0.1,0.1,0.11,0.05,0.1,0.12,0.05,0.1
h_0,0.49,0.7,0.5,0.69,0.59,0.56,0.25,0.12,0.11,0.19,0.12,0.11,0.16,0.11,0.08,0.11
a_0,0.52,0.65,0.63,0.55,0.81,1.1,0.2,0.15,0.11,0.2,0.06,0.12,0.1,0.04,0.08,0.15
g_0,0.64,0.76,0.52,0.58,0.69,0.55,0.12,0.13,0.11,0.4,0.13,0.1,0.07,0.17,0.12,0.13
e_0,0.96,0.97,0.53,0.52,0.65,0.49,0.18,0.12,0.14,0.16,0.12,0.05,0.08,0.14,0.06,0.04
