,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,5.8,2.26,2.65,1.83,2.44,2.14,8.39,8.01,17.93,9.18,11.06,9.91,9.86,16.12,8.05,17.25
f_1,3.58,6.04,2.24,2.01,2.03,1.77,7.68,7.95,10.24,8.92,7.36,9.28,10.38,15.85,7.08,14.8
c_1,2.23,2.22,6.58,1.98,3.76,2.2,7.7,7.95,9.71,6.7,10.48,8.37,9.42,16.41,11.74,14.77
d_1,2.18,2.4,1.7,6.94,1.94,2.29,7.87,9.21,5.99,20.13,11.57,13.01,13.91,18.07,14.04,17.09
b_1,1.95,2.08,2.43,2.28,7.09,4.77,7.41,6.75,10.76,10.14,10.29,7.31,7.91,15.52,11.29,17.23
a_1,1.97,2.41,2.62,2.26,2.33,11.61,10.03,7.89,9.63,10.67,11.49,10.92,7.44,14.86,12.66,15.94
h_1,2.38,3.41,2.34,2.5,2.09,2.41,17.19,11.22,10.67,10.17,10.59,11.16,10.39,12.65,11.89,21.2
g_1,2.21,2.19,2.41,4.0,2.12,2.34,8.32,20.33,8.21,12.46,17.13,12.94,12.38,17.8,12.62,14.12
d_0,2.15,2.64,4.83,1.52,2.46,2.13,8.79,8.4,17.24,7.68,11.58,9.78,11.9,15.62,11.62,16.93
c_0,2.44,2.73,1.9,2.87,1.93,2.22,9.56,10.33,9.97,21.65,12.28,23.87,16.28,18.43,12.03,20.39
f_0,2.24,2.12,2.7,2.62,2.39,2.63,9.54,9.67,12.83,11.18,22.63,14.22,15.1,18.05,26.77,16.62
b_0,2.5,2.8,2.56,2.98,1.5,1.67,9.92,11.09,9.17,14.5,12.06,24.08,26.54,17.06,10.82,17.95
a_0,2.44,2.74,2.53,2.6,2.24,1.97,9.73,10.34,10.24,13.82,14.99,12.76,27.03,20.16,17.14,17.2
h_0,2.22,3.37,2.74,2.65,2.21,1.91,6.85,11.44,11.52,11.99,9.26,11.33,13.24,13.83,11.83,22.42
e_0,1.35,2.83,2.59,2.83,2.63,2.59,11.19,9.63,10.16,13.93,11.68,12.69,11.04,18.79,29.42,17.96
g_0,2.07,2.45,2.67,4.04,2.4,2.13,8.52,7.06,9.55,11.11,17.35,11.27,11.53,17.2,13.85,13.22
