,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.4,0.44,0.68,0.62,0.6,0.59,0.32,0.32,0.27,0.34,0.29,0.32,0.27,0.24,0.36,0.24
f_1,0.66,0.4,0.63,0.52,0.58,0.51,0.26,0.3,0.26,0.3,0.26,0.3,0.24,0.18,0.25,0.26
c_1,0.49,0.58,0.39,0.7,0.66,0.6,0.35,0.19,0.29,0.33,0.26,0.28,0.23,0.21,0.23,0.23
d_1,0.7,0.71,0.56,0.38,0.55,0.53,0.28,0.34,0.28,0.24,0.25,0.26,0.28,0.21,0.24,0.16
b_1,0.59,0.64,0.41,0.61,0.37,0.67,0.36,0.26,0.32,0.34,0.32,0.28,0.3,0.26,0.23,0.24
a_1,0.63,0.69,0.55,0.67,0.4,0.3,0.33,0.29,0.29,0.36,0.28,0.29,0.38,0.24,0.27,0.21
h_1,0.58,0.62,0.56,0.56,0.5,0.5,0.23,0.25,0.26,0.33,0.26,0.24,0.24,0.25,0.25,0.23
d_0,0.41,0.53,0.67,0.64,0.57,0.58,0.35,0.23,0.26,0.35,0.27,0.26,0.26,0.24,0.28,0.23
c_0,0.61,0.6,0.71,0.41,0.56,0.53,0.29,0.32,0.22,0.29,0.31,0.25,0.3,0.25,0.32,0.2
g_1,0.59,0.61,0.56,0.59,0.57,0.53,0.25,0.26,0.24,0.21,0.24,0.28,0.22,0.18,0.26,0.22
b_0,0.53,0.55,0.72,0.52,0.62,0.53,0.3,0.26,0.18,0.31,0.22,0.23,0.3,0.22,0.28,0.2
f_0,0.5,0.69,0.6,0.57,0.54,0.59,0.31,0.28,0.26,0.23,0.27,0.2,0.26,0.22,0.3,0.17
a_0,0.52,0.58,0.7,0.52,0.65,0.6,0.3,0.27,0.22,0.31,0.17,0.25,0.19,0.24,0.27,0.21
h_0,0.55,0.59,0.62,0.58,0.53,0.48,0.33,0.26,0.24,0.31,0.26,0.26,0.23,0.24,0.23,0.23
e_0,0.56,0.73,0.59,0.62,0.59,0.48,0.29,0.26,0.23,0.26,0.24,0.16,0.23,0.23,0.17,0.21
g_0,0.53,0.55,0.56,0.61,0.54,0.51,0.25,0.27,0.25,0.32,0.25,0.3,0.24,0.18,0.27,0.23
