,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,8750.68,4848.08,6223.08,12095.06,25652.17,74851.22,4989251.12,31993676.73,20530011.48,29734217.62,50352093.3,44454710.98,144126647.61,269670620.58,362923270.84,242893554.33
f_1,6481.56,9277.14,6682.46,9594.14,23573.98,71735.14,4779301.18,20689265.52,19465190.12,33704387.85,45204953.59,31360856.56,130418366.82,248836302.64,307053548.41,215938511.25
d_1,4282.7,4867.98,16969.11,7812.09,25235.6,71044.88,5484019.31,14375087.33,18552546.63,58485038.36,58069314.79,50301405.58,161517067.48,282766346.03,384536022.7,322933800.91
c_1,3832.74,4136.65,7311.25,23587.85,47799.8,79538.64,4984678.96,17388065.17,19101806.04,22008476.13,35856789.54,44242561.6,124125712.01,227374091.54,283246591.24,323237913.0
b_1,3865.97,4124.4,7491.66,9269.55,83216.24,145785.52,5380533.46,16498318.17,21455885.89,32489999.31,34285037.11,51070166.45,112780826.1,256882172.53,339126332.02,326442429.3
a_1,4483.52,4603.53,7585.43,10092.84,23976.0,289444.72,5986181.45,18189600.01,22053753.98,35245847.47,51493982.38,51782605.64,99898315.99,251132341.15,405788879.57,277666410.34
h_1,4614.67,6125.22,8569.48,9060.53,28370.93,72785.88,8710036.14,17485055.43,24093565.26,34734603.62,44661584.19,47178256.87,140389750.28,214787938.73,451383150.15,347504657.56
d_0,4028.46,4937.04,5991.01,18064.22,30975.67,73023.53,5252622.39,28155085.26,20478328.48,24907445.02,49891747.06,45877101.85,148574104.86,247599409.96,339828244.66,334581218.51
g_1,4096.65,3885.54,11257.73,10712.43,27791.57,68953.17,5447657.88,17646185.12,45094374.74,36606870.69,56352951.5,78896661.15,164967130.18,252186997.72,315096809.06,414210815.05
c_0,5046.01,5257.61,7860.02,10395.18,24591.56,65470.02,5459050.68,22748811.67,21184095.98,52806872.68,89125986.99,57100726.22,199661309.16,289204114.94,452821242.17,343001143.21
b_0,4530.49,5395.87,8288.72,11778.5,24435.52,51977.64,5465739.25,23081961.65,22406807.95,31590158.05,77922762.91,56871074.01,292822882.01,267917003.93,375561331.88,346446706.13
f_0,3978.52,4397.73,9084.02,11307.14,31030.23,76196.98,4984656.22,20643396.76,21317957.33,33495617.67,55235403.52,84083806.42,171344579.96,305433568.89,434753825.16,680707820.2
a_0,4369.99,5012.86,9352.02,13010.3,30390.39,51098.18,5834222.33,21877494.96,23679142.84,33794855.02,49811589.29,55428490.67,291861210.52,271742203.87,389237234.73,436488405.97
h_0,4621.41,5915.75,8203.39,10882.6,24768.38,90213.59,4872807.8,22010711.78,29390632.08,31960736.42,49535539.84,48162413.21,162660972.72,195565702.45,472645213.6,323509304.53
g_0,3881.23,4472.37,11149.11,10667.79,28196.37,68649.57,5728227.25,18280123.13,16766302.31,33460561.82,55945034.7,70585879.54,184749798.14,257376475.77,310450609.47,381172484.23
e_0,3538.37,5670.31,8121.1,10681.72,32727.88,86012.22,5341940.32,20344644.4,23693316.31,37906095.81,51953328.61,49028925.64,168429372.53,296387817.51,360424981.32,608953210.84
