,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.54,0.9,0.88,0.82,1.39,0.69,1.03,0.97,0.86,0.6,1.03,0.68,1.17,0.89,0.78,0.99
f_1,0.93,1.55,0.91,1.32,0.78,0.6,0.97,0.94,1.09,0.98,0.68,0.99,0.91,0.57,0.91,0.96
d_1,0.82,1.0,1.56,0.88,0.85,0.69,1.09,0.9,0.84,1.64,1.04,1.32,1.12,0.97,0.9,0.98
e_1,1.1,0.81,0.83,1.57,0.91,0.72,1.01,1.05,1.7,0.96,1.1,0.97,1.12,0.79,0.92,1.17
b_1,0.81,0.97,0.93,0.86,1.59,1.33,1.12,0.92,1.02,1.03,0.98,0.8,1.17,0.85,0.8,1.01
a_1,1.14,1.17,0.91,0.9,0.73,1.76,1.12,1.24,1.2,1.2,1.17,1.17,1.23,1.19,0.92,1.19
h_1,1.14,1.42,1.17,1.08,0.95,0.93,1.81,1.4,1.2,1.27,1.25,1.27,1.13,1.0,1.09,1.58
g_1,1.12,1.09,1.62,0.95,1.04,0.79,1.36,1.87,1.25,1.3,1.86,1.21,1.2,1.29,1.06,1.26
d_0,1.84,1.17,0.97,0.97,1.21,0.93,1.29,1.21,1.74,0.9,1.37,1.13,1.31,1.1,1.23,1.37
c_0,1.34,1.31,1.13,1.12,0.89,0.85,1.5,1.41,1.56,1.79,1.38,2.28,1.62,1.34,1.42,1.5
f_0,1.28,1.13,1.38,1.04,1.21,0.99,1.52,1.2,1.3,1.43,1.77,1.53,1.49,2.08,1.31,1.34
b_0,1.36,1.43,1.2,1.17,0.92,0.76,1.47,1.31,1.51,1.18,1.14,1.77,1.65,1.29,2.09,1.45
h_0,1.24,1.57,1.27,1.19,1.12,0.93,1.33,1.76,1.47,1.37,1.42,1.33,1.32,1.22,1.42,1.76
e_0,1.32,1.7,1.32,0.97,1.23,1.04,1.62,1.36,1.34,1.25,1.28,1.26,1.78,1.86,1.29,1.47
a_0,1.29,1.32,1.47,1.2,1.23,0.79,1.54,1.46,1.4,1.28,1.11,1.19,1.45,1.18,1.83,1.47
g_0,1.34,1.16,1.72,1.03,1.21,0.84,1.33,1.1,1.38,1.56,1.86,1.5,1.49,1.36,1.35,1.36
