,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,6.1,1.01,1.5,1.65,1.15,1.23,5.01,4.46,5.75,12.12,7.14,6.69,8.63,5.6,2.46,7.07
d_1,1.35,6.2,1.28,1.04,1.19,1.22,4.89,4.57,12.24,1.92,7.44,7.36,9.18,6.86,7.48,10.12
f_1,2.32,1.44,6.23,1.08,1.06,0.94,4.91,4.82,5.41,5.92,1.86,6.02,7.49,7.34,3.99,8.7
c_1,0.97,1.19,1.32,6.87,2.46,1.12,4.47,4.02,2.27,6.35,6.2,3.64,9.91,5.32,6.42,10.94
b_1,1.21,1.09,1.2,1.27,7.17,2.87,4.59,4.32,4.24,5.68,6.02,1.8,10.64,4.94,6.61,8.86
a_1,1.21,1.36,1.32,1.63,1.33,9.98,3.89,5.36,5.15,5.7,5.47,7.78,8.32,2.27,8.01,9.04
h_1,1.31,1.74,2.15,1.78,1.45,1.31,14.85,6.88,6.99,6.31,7.65,8.39,7.02,7.51,7.86,14.67
g_1,1.43,2.8,1.36,0.95,1.38,1.65,5.95,18.78,8.66,5.44,10.84,8.48,9.0,7.28,8.5,6.03
c_0,1.55,1.95,1.92,0.85,1.3,1.48,6.61,6.03,16.23,6.46,8.43,15.98,10.8,10.39,7.56,11.89
d_0,1.57,0.57,1.61,3.44,1.72,1.1,6.35,4.47,4.28,16.58,6.44,7.72,12.86,7.86,6.79,9.54
f_0,1.28,1.86,1.12,1.43,1.65,1.46,6.95,6.81,8.43,7.21,19.11,9.13,13.39,8.59,20.19,12.19
b_0,1.37,2.32,1.82,1.75,0.63,1.02,6.01,6.25,7.09,6.92,7.53,19.57,14.22,18.24,8.53,11.25
h_0,1.33,1.78,2.35,1.88,1.35,1.85,2.81,8.42,6.99,8.02,7.07,7.51,7.93,10.35,7.8,16.4
a_0,1.61,1.77,1.99,1.62,1.45,0.58,7.03,5.64,6.8,6.5,9.14,8.53,14.26,24.36,8.59,12.59
e_0,0.72,1.96,2.14,1.5,1.38,1.84,7.1,6.16,6.52,6.5,7.25,8.17,14.86,7.18,23.74,11.9
g_0,1.2,2.68,1.31,1.99,1.53,1.64,5.45,3.06,6.57,5.79,10.84,8.63,11.27,7.42,8.97,6.09
