,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,2.32,0.58,0.48,0.77,0.5,0.4,1.11,2.3,0.83,1.03,1.2,1.35,1.38,0.68,0.94,1.23
f_1,1.21,2.37,0.49,0.39,0.39,0.36,0.95,1.1,0.87,1.35,0.57,1.02,1.47,0.61,1.13,1.09
d_1,0.5,0.66,2.44,0.43,0.54,0.4,1.06,0.6,1.05,2.26,1.13,1.21,1.34,0.96,0.86,1.36
c_1,0.44,0.51,0.51,2.42,1.09,0.42,1.11,1.2,0.79,0.42,1.22,0.73,1.49,0.91,0.73,1.35
b_1,0.52,0.51,0.59,0.57,2.57,0.93,0.98,1.18,0.82,1.04,1.13,0.56,1.48,1.0,0.67,1.39
a_1,0.54,0.76,0.62,0.59,0.45,3.02,0.88,1.25,0.97,0.79,1.1,1.01,1.84,1.15,0.67,1.23
h_1,0.61,1.01,0.77,0.7,0.58,0.44,3.04,1.24,1.7,1.35,1.3,1.31,1.11,1.15,1.33,2.35
d_0,0.62,0.63,0.43,1.31,0.67,0.5,1.35,2.6,1.17,0.95,1.45,1.48,1.66,1.19,1.46,1.71
g_1,0.61,0.64,1.05,0.71,0.61,0.55,1.18,1.09,3.35,1.35,2.21,1.1,1.58,1.16,1.15,1.08
c_0,0.82,0.76,0.87,0.43,0.4,0.54,1.35,1.67,1.08,2.79,1.45,2.65,1.77,1.12,1.7,1.97
f_0,0.54,0.48,0.76,0.88,0.71,0.58,1.31,1.53,1.35,1.41,2.9,1.34,1.73,2.48,1.28,1.75
b_0,0.72,0.96,0.66,0.82,0.3,0.3,1.44,1.61,1.4,1.38,1.29,3.0,1.78,1.4,3.02,1.77
h_0,0.68,0.96,0.73,0.68,0.55,0.57,0.99,1.6,1.57,1.39,1.31,1.3,1.29,1.15,1.11,2.09
e_0,0.48,0.82,0.65,0.77,0.53,0.5,1.59,1.48,1.48,1.5,1.33,1.47,2.56,3.36,1.73,1.99
a_0,0.8,0.7,0.76,0.76,0.57,0.28,1.55,1.52,1.49,1.67,1.33,1.52,1.6,1.03,2.99,1.68
g_0,0.59,0.63,1.18,0.61,0.65,0.49,1.22,1.23,0.83,1.7,2.3,1.21,1.7,1.23,1.48,1.23
