,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,0.65,1.05,0.9,0.94,0.82,0.74,0.35,0.43,0.37,0.32,0.37,0.33,0.22,0.31,0.27,0.28
e_1,0.7,0.65,0.96,1.09,0.92,0.84,0.44,0.44,0.43,0.35,0.43,0.39,0.28,0.36,0.41,0.29
d_1,1.03,1.12,0.64,0.9,0.89,0.75,0.41,0.32,0.48,0.37,0.32,0.32,0.27,0.3,0.32,0.2
c_1,0.99,0.82,1.18,0.63,1.18,0.98,0.44,0.42,0.24,0.38,0.36,0.31,0.29,0.33,0.33,0.26
b_1,1.21,0.98,1.16,0.69,0.61,1.24,0.5,0.5,0.36,0.48,0.36,0.49,0.35,0.33,0.38,0.28
a_1,1.47,1.3,1.43,1.19,0.68,0.56,0.55,0.6,0.42,0.52,0.47,0.6,0.41,0.49,0.4,0.35
h_1,1.76,1.62,1.62,1.56,1.37,1.27,0.53,0.73,0.61,0.53,0.51,0.54,0.5,0.45,0.46,0.49
g_1,1.69,1.68,1.77,1.74,1.45,1.28,0.65,0.53,0.62,0.63,0.65,0.59,0.38,0.58,0.53,0.49
d_0,1.59,1.2,1.95,2.13,1.79,1.84,0.82,0.82,0.55,0.58,0.65,0.61,0.51,0.59,0.54,0.57
c_0,1.99,1.88,1.27,2.34,1.74,1.54,0.94,0.76,0.95,0.53,0.59,0.76,0.55,0.62,0.62,0.46
f_0,2.08,1.61,1.78,1.66,1.82,1.6,0.95,0.64,0.68,0.68,0.53,0.63,0.53,0.66,0.69,0.4
b_0,1.97,1.79,1.56,2.36,2.16,1.41,0.96,0.79,0.74,0.44,0.72,0.53,0.55,0.84,0.62,0.52
h_0,2.13,2.02,2.08,2.15,1.83,1.56,1.1,1.02,0.81,0.7,0.74,0.71,0.66,0.7,0.6,0.58
a_0,2.09,1.97,1.99,2.33,2.35,2.32,1.07,0.8,0.78,0.68,0.82,0.5,0.53,0.52,0.69,0.57
e_0,2.67,2.19,2.03,2.04,1.86,1.9,1.09,0.83,0.89,0.68,0.47,0.73,0.67,0.69,0.53,0.49
g_0,2.35,2.18,2.32,2.36,2.24,2.0,0.87,1.05,0.85,0.79,0.83,0.77,0.58,0.71,0.81,0.67
