,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,23.04,0.32,0.31,0.46,0.32,0.34,0.61,0.68,1.65,0.83,0.85,0.84,0.88,0.78,0.23,0.81
f_1,0.62,24.25,0.35,0.35,0.29,0.35,0.68,0.65,0.65,0.76,0.74,0.17,0.98,0.79,0.63,0.9
d_1,0.34,0.34,27.75,0.23,0.37,0.35,0.63,0.7,0.17,1.56,1.07,0.79,0.96,0.79,0.82,0.72
c_1,0.25,0.33,0.29,29.09,0.74,0.35,0.79,0.63,0.79,0.12,0.72,0.7,0.77,0.9,0.81,0.92
b_1,0.3,0.4,0.32,0.38,30.15,0.59,0.91,0.75,0.66,0.64,0.1,0.82,0.82,0.41,1.05,0.75
a_1,0.34,0.37,0.32,0.35,0.26,47.05,0.82,0.72,0.86,0.79,0.76,0.91,1.01,0.22,0.65,0.98
h_1,0.55,1.07,0.71,0.54,0.57,0.5,10.08,1.82,1.16,1.29,1.13,1.48,0.43,1.45,1.62,2.31
g_1,0.42,0.5,1.34,0.64,0.6,0.57,1.4,11.9,1.25,1.29,1.49,3.03,1.36,1.14,1.41,0.7
d_0,0.68,0.62,0.18,1.44,0.61,0.76,1.04,1.11,5.36,1.13,1.68,1.88,1.67,1.1,1.43,1.04
c_0,0.63,0.86,0.83,0.32,0.36,0.64,1.34,1.54,1.53,5.95,3.67,1.49,1.91,2.41,1.68,1.57
b_0,0.79,0.64,0.67,0.67,0.26,0.61,1.54,1.27,1.75,2.16,6.69,1.64,1.5,3.97,1.57,1.54
f_0,0.69,0.21,0.82,0.78,0.69,0.71,1.45,1.3,1.56,1.32,1.62,5.96,1.54,1.67,3.98,1.77
h_0,0.64,1.08,0.7,0.57,0.61,0.49,0.4,1.65,1.42,1.49,1.24,1.65,0.56,1.54,1.19,2.32
a_0,0.76,0.79,0.76,0.52,0.64,0.22,1.62,1.52,1.01,1.83,1.74,1.63,1.44,9.4,1.73,1.72
e_0,0.23,0.69,0.84,0.59,0.74,0.69,1.72,2.08,1.85,1.26,1.39,2.24,2.05,1.54,9.47,2.35
g_0,0.6,0.58,0.96,0.59,0.7,0.43,1.08,0.5,1.33,1.36,1.14,2.49,1.44,1.35,1.96,0.76
