,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.05,1.88,1.82,1.65,1.58,1.24,0.63,0.46,0.58,0.65,0.56,0.45,0.46,0.36,0.44,0.3
f_1,1.62,1.05,1.95,1.76,1.52,1.37,0.54,0.75,0.47,0.55,0.45,0.58,0.42,0.31,0.36,0.4
e_1,1.86,1.25,1.05,2.21,1.8,1.64,0.75,0.6,0.58,0.71,0.6,0.6,0.53,0.39,0.62,0.46
c_1,2.35,1.91,1.48,1.05,2.07,1.46,0.75,0.69,0.63,0.34,0.49,0.52,0.45,0.46,0.49,0.38
b_1,2.28,2.2,1.96,1.23,1.06,2.09,0.8,0.8,0.71,0.63,0.73,0.61,0.53,0.5,0.6,0.52
a_1,2.95,2.98,2.78,3.05,1.68,1.06,1.17,1.18,0.86,0.94,1.03,0.89,1.11,0.74,0.72,0.6
h_1,4.37,5.53,4.31,4.41,4.61,4.19,1.24,1.8,1.25,1.36,1.3,1.19,1.2,1.17,1.04,1.02
g_1,5.77,5.45,5.98,5.96,5.04,3.75,1.72,1.27,1.55,1.72,1.67,1.67,1.33,0.97,1.37,1.42
c_0,3.83,6.88,5.34,7.35,6.04,4.93,2.36,1.96,1.4,2.26,1.97,1.58,1.66,1.24,1.5,1.23
d_0,7.53,6.0,3.73,7.22,5.62,5.41,2.62,2.34,1.69,1.41,1.58,1.84,1.52,1.36,1.64,1.42
b_0,5.44,7.57,5.73,7.32,7.93,4.86,2.44,2.26,1.31,2.02,1.42,1.83,2.18,1.69,1.61,1.47
f_0,6.36,9.14,5.75,6.56,6.25,5.05,2.65,1.73,1.9,2.01,1.8,1.44,1.55,1.61,1.93,1.11
a_0,7.86,8.22,7.83,8.84,9.22,7.93,3.09,3.06,2.05,2.47,1.44,2.17,1.48,1.75,1.8,1.65
h_0,8.31,8.59,8.76,7.38,6.99,5.75,3.81,3.55,2.57,2.53,2.22,2.2,2.06,2.19,1.94,1.9
e_0,7.69,13.16,9.74,8.69,7.98,6.86,3.01,2.85,2.32,2.5,2.16,1.46,2.01,1.88,1.48,1.52
g_0,8.67,9.77,7.95,8.93,8.21,8.59,2.83,4.12,2.82,2.34,2.21,2.48,2.27,1.71,2.28,1.98
