,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.44,2.52,4.5,4.0,5.72,4.87,1.38,0.91,0.86,1.28,0.9,1.05,0.64,1.0,6.38,0.82
f_1,4.21,0.43,5.56,4.77,3.43,4.05,0.96,0.85,0.84,1.72,0.89,2.92,0.43,0.92,0.76,0.65
c_1,4.17,4.23,0.43,4.79,4.61,4.78,1.34,0.55,2.71,1.46,0.8,0.77,0.6,0.82,0.97,0.71
d_1,5.17,3.86,4.46,0.42,4.97,4.0,1.26,3.93,0.99,0.76,0.83,0.85,0.59,0.81,0.86,0.43
b_1,5.7,6.28,2.43,3.86,0.39,7.32,1.37,1.18,1.29,1.73,5.71,1.04,0.76,1.08,0.96,0.66
a_1,6.68,7.1,6.49,6.34,2.89,0.34,1.65,1.22,1.0,1.58,1.52,0.99,0.83,4.08,1.29,0.88
h_1,4.55,6.47,5.57,5.44,5.03,3.4,0.36,1.07,0.94,1.43,1.06,0.89,1.8,0.96,0.77,0.71
d_0,2.75,7.13,5.83,17.07,6.42,5.09,1.79,0.44,1.11,1.43,1.21,0.98,1.06,1.13,0.95,1.13
c_0,4.6,6.22,25.52,3.1,4.71,7.03,1.77,1.4,0.45,1.7,1.02,1.36,0.98,1.55,0.98,0.89
g_1,5.43,5.87,6.07,5.06,5.72,6.26,1.23,1.66,1.26,0.32,1.35,1.17,0.78,0.92,1.0,2.28
b_0,5.34,7.01,9.19,4.88,21.6,5.3,1.61,1.27,0.64,1.71,0.39,1.01,0.75,1.05,1.08,0.83
f_0,5.69,14.54,5.49,5.84,7.3,5.37,1.7,1.06,1.25,1.08,1.31,0.4,1.16,1.43,1.06,0.49
h_0,7.84,6.52,6.77,7.08,7.42,6.75,4.21,1.39,1.15,2.06,1.33,1.5,2.48,1.02,1.32,1.18
a_0,6.31,5.58,7.04,9.4,9.42,,2.76,1.7,1.29,2.12,0.8,1.88,1.16,0.35,1.52,0.96
e_0,16.08,12.28,7.02,7.5,8.91,4.9,1.41,1.37,1.14,2.12,1.35,0.72,1.16,1.47,0.34,0.91
g_0,8.06,7.33,6.57,8.11,8.34,7.65,1.49,1.28,1.41,5.08,1.57,1.66,0.83,1.5,1.39,2.06
