,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.88,0.16,0.07,0.08,0.06,0.04,0.08,0.06,0.07,0.08,0.07,0.02,0.07,0.05,0.03,0.05
e_1,0.1,0.88,0.08,0.08,0.06,0.04,0.07,0.07,0.08,0.14,0.07,0.06,0.07,0.06,0.01,0.04
d_1,0.1,0.08,0.88,0.09,0.06,0.05,0.07,0.06,0.13,0.02,0.07,0.06,0.07,0.05,0.05,0.06
c_1,0.1,0.08,0.07,0.87,0.15,0.04,0.08,0.05,0.01,0.06,0.06,0.07,0.08,0.05,0.05,0.07
b_1,0.08,0.08,0.1,0.06,0.87,0.08,0.1,0.06,0.08,0.07,0.02,0.08,0.07,0.04,0.05,0.05
a_1,0.08,0.08,0.11,0.09,0.07,0.87,0.09,0.05,0.07,0.08,0.05,0.05,0.07,,0.04,0.08
h_1,0.22,0.14,0.15,0.14,0.1,0.08,0.52,0.12,0.12,0.11,0.11,0.11,0.07,0.1,0.08,0.14
g_1,0.11,0.13,0.24,0.12,0.1,0.1,0.14,0.53,0.15,0.12,0.11,0.17,0.12,0.09,0.1,0.04
c_0,0.22,0.17,0.16,0.04,0.1,0.09,0.14,0.09,0.38,0.15,0.27,0.11,0.13,0.09,0.08,0.11
d_0,0.2,0.13,0.06,0.25,0.1,0.09,0.13,0.12,0.11,0.37,0.12,0.13,0.13,0.1,0.08,0.1
b_0,0.2,0.14,0.19,0.14,0.05,0.05,0.17,0.13,0.14,0.18,0.39,0.13,0.18,0.15,0.09,0.13
f_0,0.1,0.14,0.22,0.13,0.14,0.08,0.14,0.1,0.13,0.14,0.18,0.38,0.13,0.09,0.15,0.11
h_0,0.23,0.14,0.2,0.13,0.11,0.06,0.04,0.13,0.12,0.12,0.1,0.13,0.05,0.08,0.08,0.12
a_0,0.17,0.19,0.18,0.16,0.09,,0.16,0.14,0.15,0.12,0.11,0.13,0.17,0.35,0.08,0.09
e_0,0.25,0.04,0.19,0.16,0.14,0.06,0.13,0.11,0.17,0.11,0.11,0.12,0.16,0.07,0.37,0.12
g_0,0.15,0.12,0.25,0.12,0.13,0.08,0.13,0.04,0.15,0.12,0.11,0.19,0.11,0.1,0.08,0.04
