,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,0.17,0.73,0.69,0.81,0.78,0.64,0.16,0.21,0.2,0.15,0.34,0.17,0.08,0.14,0.14,0.15
e_1,0.44,0.17,0.83,0.85,0.77,0.89,0.27,0.25,0.17,0.16,0.21,0.21,0.12,0.19,0.44,0.12
d_1,0.83,0.89,0.17,0.77,0.78,0.7,0.21,0.16,0.49,0.13,0.12,0.13,0.11,0.13,0.16,0.07
c_1,0.81,0.72,0.89,0.15,0.77,0.86,0.22,0.23,0.08,0.31,0.14,0.14,0.11,0.16,0.14,0.11
b_1,0.95,0.64,0.91,0.41,0.13,0.78,0.25,0.26,0.15,0.2,0.16,0.47,0.15,0.15,0.16,0.11
a_1,0.84,1.0,0.81,1.05,0.37,0.09,0.19,0.2,0.16,0.22,0.2,0.22,0.12,0.46,0.15,0.12
h_1,0.6,0.71,0.62,0.65,0.51,0.51,0.06,0.18,0.14,0.13,0.12,0.13,0.16,0.13,0.09,0.09
g_1,0.66,0.61,0.58,0.67,0.67,0.54,0.14,0.06,0.13,0.15,0.14,0.12,0.06,0.15,0.15,0.12
d_0,0.7,0.34,1.32,0.7,0.51,0.91,0.18,0.21,0.06,0.15,0.14,0.12,0.09,0.13,0.09,0.12
c_0,0.7,0.59,0.32,1.86,0.79,0.64,0.23,0.19,0.2,0.06,0.11,0.13,0.1,0.13,0.13,0.08
f_0,1.16,0.5,0.54,0.6,0.68,0.63,0.21,0.12,0.1,0.12,0.05,0.11,0.1,0.14,0.11,0.06
b_0,0.54,0.55,0.49,0.91,1.58,0.63,0.18,0.17,0.14,0.06,0.16,0.05,0.09,0.15,0.1,0.08
h_0,0.66,0.53,0.5,0.67,0.6,0.51,0.34,0.21,0.14,0.11,0.12,0.11,0.15,0.11,0.1,0.1
a_0,0.54,0.6,0.57,0.65,0.99,1.38,0.2,0.14,0.12,0.09,0.15,0.06,0.08,0.04,0.12,0.08
e_0,0.76,1.11,0.5,0.56,0.63,0.58,0.18,0.15,0.17,0.1,0.06,0.13,0.12,0.11,0.04,0.07
g_0,0.68,0.56,0.54,0.68,0.66,0.57,0.13,0.31,0.13,0.11,0.1,0.11,0.06,0.1,0.13,0.14
