,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,2.44,0.61,0.72,0.86,0.79,0.61,1.47,2.89,1.55,1.78,1.49,1.9,2.18,2.68,0.91,1.89
d_1,0.72,2.48,0.77,0.71,0.68,0.71,1.48,0.87,2.76,1.3,1.92,1.76,2.4,1.65,2.26,1.83
f_1,1.16,0.75,2.48,0.82,0.57,0.89,1.36,1.39,1.55,1.34,1.57,0.67,2.06,2.28,1.71,1.83
c_1,0.75,0.68,0.75,2.5,1.37,0.62,1.73,1.37,0.7,1.35,1.41,1.92,1.94,1.86,1.96,1.52
b_1,0.81,0.87,0.95,0.55,2.72,1.41,1.31,1.63,1.57,1.59,0.79,1.5,2.24,1.84,1.23,1.37
a_1,0.87,0.79,0.77,0.88,0.47,3.28,1.72,1.88,1.83,1.79,1.89,1.89,1.88,1.98,1.31,0.87
h_1,1.03,1.04,1.21,1.04,1.08,0.92,3.87,2.35,2.24,2.49,2.11,2.21,1.6,2.98,2.14,2.64
d_0,0.77,0.41,1.31,1.79,0.99,0.98,1.79,3.61,1.84,1.66,2.53,1.84,2.58,2.53,1.95,2.64
c_0,1.07,1.04,1.1,0.64,1.04,0.95,1.67,2.37,3.71,1.76,3.93,2.75,2.59,2.98,2.74,2.63
g_1,0.71,1.6,0.96,1.14,0.93,0.7,1.59,2.24,2.27,4.36,2.4,3.34,1.97,2.28,2.43,2.18
b_0,0.99,1.09,1.14,1.15,0.71,0.74,2.65,1.93,2.08,1.97,4.06,2.36,2.66,2.85,2.11,4.48
f_0,0.96,1.2,0.62,0.92,1.26,1.02,2.09,2.57,2.28,1.58,2.35,3.96,2.84,3.15,3.47,2.2
h_0,1.05,0.99,1.32,0.97,0.89,0.92,1.25,2.16,2.25,2.83,2.31,2.17,1.81,3.09,1.94,1.85
g_0,0.83,1.62,0.71,1.16,1.0,0.99,1.94,2.0,1.92,1.13,1.9,3.02,2.43,1.65,1.98,2.02
e_0,0.54,0.99,1.06,1.09,1.16,1.19,2.14,2.37,2.34,1.94,2.71,2.48,3.6,3.62,4.97,2.0
a_0,0.85,1.13,1.01,1.14,1.12,,2.12,2.55,2.06,2.17,1.81,2.52,3.62,2.64,2.72,4.71
