,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.66,1.32,1.44,1.47,1.41,1.13,0.5,0.55,0.47,0.5,0.49,0.68,0.37,0.46,0.41,0.52
d_1,1.56,0.65,1.45,1.37,1.38,1.18,0.66,0.46,0.57,1.01,0.46,0.5,0.4,0.54,0.33,0.44
e_1,1.0,1.51,0.65,1.56,1.53,1.18,0.69,0.78,0.59,0.65,0.54,0.58,0.43,0.47,0.49,0.62
c_1,1.38,1.75,1.32,0.63,1.59,1.61,0.66,0.66,0.73,0.33,0.43,0.52,0.41,0.47,0.4,0.51
b_1,1.62,1.53,1.62,0.96,0.62,1.85,0.73,0.71,0.62,0.58,0.99,0.52,0.51,0.56,0.48,0.57
a_1,1.95,1.76,1.91,1.66,0.99,0.59,0.83,0.86,0.61,0.63,0.9,0.61,0.49,1.1,0.53,0.46
h_1,2.42,1.92,2.08,2.18,1.98,1.89,0.58,0.95,0.77,0.81,0.78,0.69,0.77,0.7,0.61,0.68
g_1,3.0,2.52,2.1,2.43,2.32,1.96,0.91,0.56,0.77,0.67,0.74,0.81,0.62,0.79,0.79,0.77
c_0,2.44,1.53,2.25,3.7,2.52,2.56,1.15,1.1,0.62,1.06,1.01,0.96,0.69,0.88,0.62,0.84
d_0,2.42,3.42,1.51,3.02,2.54,2.46,1.25,1.47,0.85,0.63,0.88,0.87,0.76,0.8,0.72,0.99
b_0,2.87,2.23,2.4,3.67,3.84,2.02,1.16,1.0,0.54,0.88,0.59,0.83,0.78,1.1,0.78,0.82
f_0,3.68,2.28,2.26,2.71,2.58,2.94,1.21,0.86,0.86,0.92,0.88,0.59,0.77,0.7,0.56,0.97
h_0,2.81,2.78,2.38,3.22,2.89,2.42,1.68,1.13,0.99,1.01,0.88,0.98,1.13,0.82,0.91,0.88
a_0,3.33,2.62,2.98,3.36,3.22,2.87,1.28,1.13,0.97,1.2,0.57,1.05,0.85,0.56,0.81,0.95
g_0,3.43,2.68,2.83,3.17,2.95,2.75,1.11,1.64,1.12,1.09,0.98,1.06,0.66,0.92,1.07,0.87
e_0,3.73,2.92,4.78,2.82,2.57,3.54,1.48,1.21,0.97,0.9,1.09,0.63,0.87,0.93,0.81,0.55
