,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.68,3.92,5.54,6.73,4.9,5.59,2.51,2.31,2.81,1.96,1.59,1.71,1.52,,1.75,1.75
f_1,6.48,0.67,6.27,6.71,6.36,5.68,1.95,1.92,2.86,1.92,1.94,,1.2,1.56,1.62,1.39
d_1,7.5,6.86,0.65,4.9,6.8,4.6,2.49,,1.67,2.17,2.23,2.38,1.49,2.25,1.79,1.02
c_1,5.55,5.56,6.82,0.65,6.71,6.44,2.37,1.14,2.76,,2.56,3.26,2.08,1.96,2.27,1.42
b_1,6.3,5.16,5.36,4.32,0.63,8.85,2.28,2.36,2.48,2.13,,2.52,2.77,2.34,,1.34
a_1,6.84,6.66,8.56,5.36,4.25,0.57,3.06,3.39,,3.38,3.34,2.01,2.41,,,
h_1,5.96,5.4,5.06,4.49,4.91,5.3,0.6,2.09,2.61,1.59,1.76,1.27,,1.49,1.45,1.76
d_0,2.99,5.09,,7.01,3.99,3.73,1.92,0.71,2.03,2.01,1.77,1.96,1.03,1.48,2.14,1.37
g_1,5.36,6.81,6.87,5.37,5.73,,1.93,1.96,0.57,2.1,1.91,1.64,1.23,2.18,2.07,
c_0,5.76,4.96,2.9,,7.4,3.2,2.43,1.95,2.21,0.69,2.1,1.55,1.31,1.65,,1.28
b_0,5.36,4.87,4.75,5.36,,5.23,2.18,1.99,2.4,1.19,0.67,1.72,1.68,1.83,1.74,1.75
f_0,5.75,,4.28,4.47,4.11,5.77,3.46,1.62,1.78,2.26,2.27,0.67,1.61,1.61,,1.23
h_0,4.56,4.77,4.83,4.31,3.0,4.27,,2.02,2.17,1.57,1.71,1.66,,1.48,1.55,1.24
e_0,,6.8,5.07,6.61,5.89,,2.77,3.03,2.22,2.22,2.03,1.57,1.8,0.6,,1.72
a_0,6.97,6.81,6.59,4.85,,,3.67,1.66,1.98,,1.21,,1.98,,0.6,
g_0,5.2,6.49,7.68,4.93,6.23,,1.87,2.29,,1.8,1.95,1.67,1.3,1.51,,
