,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.49,0.66,0.53,0.79,0.69,0.52,0.75,1.35,0.81,0.77,0.85,0.91,1.01,0.79,0.49,0.75
f_1,1.07,1.51,0.63,0.7,0.49,0.48,0.81,0.75,0.82,0.65,0.83,0.48,0.69,0.61,0.58,0.91
d_1,0.8,0.77,1.56,0.5,0.66,0.58,0.77,0.4,1.27,0.65,0.78,0.79,0.86,0.73,0.61,0.71
c_1,0.67,0.63,0.75,1.58,1.08,0.52,0.7,0.69,0.33,0.65,0.74,0.72,0.83,0.53,0.73,0.75
b_1,0.6,0.84,0.69,0.63,1.63,1.0,0.79,0.93,0.88,0.93,0.68,0.83,0.87,0.68,0.71,0.71
a_1,0.81,0.93,0.76,0.76,0.49,1.73,1.01,0.99,0.73,0.57,0.83,0.76,0.88,0.49,0.82,0.99
h_1,0.89,1.15,0.99,0.81,0.75,0.61,1.73,1.05,1.06,1.13,1.12,0.99,0.77,0.87,0.65,1.2
d_0,0.85,1.0,0.76,1.42,0.9,0.72,0.94,1.55,0.89,0.99,0.96,1.05,1.27,0.86,0.86,1.07
c_0,1.02,1.1,0.92,0.72,0.67,0.93,1.26,0.98,1.59,0.97,1.62,1.1,1.12,0.98,0.98,1.1
g_1,0.75,0.83,1.5,0.89,0.65,0.87,1.01,0.97,1.03,1.83,1.01,1.45,0.99,0.72,1.02,0.81
b_0,0.97,1.02,1.02,0.92,0.55,0.75,1.15,1.21,1.03,1.04,1.61,1.15,1.24,1.59,0.99,1.18
f_0,0.79,0.75,1.1,1.11,0.8,0.9,1.18,1.19,1.21,1.05,1.15,1.68,1.39,1.0,1.65,1.08
h_0,0.96,1.38,0.97,1.06,0.89,0.77,1.05,1.26,1.24,1.42,1.06,1.14,0.92,0.87,0.99,1.31
a_0,1.0,1.22,1.11,1.08,0.86,0.42,1.3,1.15,1.18,1.35,0.91,1.36,1.33,1.74,0.97,1.24
e_0,0.55,1.18,1.23,0.92,1.03,0.87,1.48,1.2,1.23,1.13,1.44,1.14,1.41,1.06,1.79,1.29
g_0,0.96,0.84,1.41,0.94,1.02,0.7,1.11,1.03,1.24,0.91,1.22,1.61,1.08,1.2,1.08,0.94
