,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.67,1.37,1.2,1.46,1.4,1.33,0.51,0.56,0.48,0.53,0.46,0.65,0.3,0.38,0.45,0.4
e_1,0.95,0.67,1.54,1.57,1.21,1.18,0.71,0.76,0.54,0.63,0.56,0.64,0.45,0.66,0.44,0.71
d_1,1.61,1.6,0.65,1.37,1.25,1.05,0.69,0.47,0.58,0.96,0.52,0.5,0.42,0.47,0.28,0.51
c_1,1.42,1.21,1.7,0.64,1.71,1.52,0.66,0.63,0.66,0.33,0.51,0.53,0.46,0.51,0.41,0.49
b_1,1.79,2.01,1.72,0.92,0.61,1.81,0.69,0.76,0.65,0.59,0.83,0.52,0.52,0.53,0.58,0.51
a_1,2.2,2.05,1.9,2.05,0.95,0.56,0.87,0.77,0.64,0.63,0.93,0.6,0.59,1.28,0.5,0.6
h_1,2.26,2.04,2.0,2.22,2.23,1.81,0.58,1.08,0.69,0.83,0.74,0.76,0.84,0.65,0.69,0.73
g_1,2.64,2.28,2.53,2.29,2.23,2.27,0.77,0.55,0.92,0.87,0.91,0.85,0.61,0.79,0.82,0.91
c_0,2.57,2.38,1.48,3.79,2.57,2.25,1.17,1.1,0.62,0.93,1.03,0.83,0.7,0.87,0.66,0.8
d_0,2.44,1.44,3.32,3.16,2.53,2.64,1.12,1.3,1.05,0.62,0.91,0.91,0.71,0.7,0.77,0.8
b_0,2.62,2.37,2.01,3.12,4.4,1.81,1.07,1.09,0.53,1.03,0.59,0.85,0.69,1.27,0.66,0.77
f_0,4.26,2.4,2.28,2.23,3.22,2.14,1.19,0.92,0.88,0.83,0.94,0.6,0.8,0.81,0.51,1.0
h_0,3.2,2.56,2.43,2.65,2.52,2.15,1.59,1.28,1.02,1.16,0.9,0.98,1.14,0.91,0.87,0.75
a_0,3.54,2.25,2.86,2.81,3.5,3.46,1.42,1.19,1.06,1.26,0.59,0.98,0.78,0.57,0.87,1.0
g_0,3.15,3.01,3.16,3.17,2.81,2.32,1.06,1.79,0.88,1.08,0.98,1.23,0.64,0.96,1.15,0.93
e_0,3.9,3.72,2.92,3.07,3.02,2.55,1.25,1.05,0.96,0.99,1.06,0.55,0.94,0.85,1.03,0.55
