,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.15,93.79,92.28,86.62,87.73,78.08,22.26,12.54,18.24,,18.1,15.44,21.79,10.32,19.35,11.44
f_1,89.25,1.15,79.1,114.46,103.39,72.08,17.71,25.07,14.67,16.53,18.1,,16.56,8.98,13.82,17.43
e_1,108.18,46.29,1.15,100.16,80.42,117.13,45.68,25.07,20.45,17.94,40.07,17.94,16.56,11.47,,12.2
c_1,119.0,96.32,87.42,1.15,80.42,93.7,29.93,30.52,,9.37,24.39,24.17,19.71,15.88,20.37,9.89
b_1,132.22,93.79,114.55,56.23,1.15,117.13,36.17,24.21,24.11,27.3,,19.86,18.82,14.24,29.77,16.64
a_1,148.75,127.29,276.83,267.08,107.22,1.15,41.33,50.14,48.21,33.05,43.15,34.75,,18.77,,26.14
h_1,91.54,93.79,79.1,82.18,131.59,104.11,2.0,41.29,16.46,20.26,14.38,19.86,15.92,,14.88,13.07
g_1,142.8,132.0,151.0,178.06,87.73,117.13,23.46,2.0,21.77,26.17,35.06,26.48,24.35,8.98,21.5,
c_0,45.19,114.97,92.28,,103.39,72.08,21.17,33.43,2.91,25.12,17.53,17.38,29.57,17.96,16.12,11.81
d_0,,122.9,49.58,103.39,93.39,124.93,29.93,43.88,17.76,2.98,13.36,20.59,19.71,14.75,19.35,16.64
b_0,111.56,127.29,118.64,114.46,,156.17,26.3,26.0,14.06,24.15,2.94,19.86,27.6,17.21,24.19,14.64
f_0,115.16,,123.04,97.12,103.39,124.93,32.15,18.97,19.85,24.15,19.34,3.02,27.6,21.74,22.76,10.76
a_0,170.0,209.65,144.43,133.54,193.0,,31.0,41.29,39.71,39.25,20.78,32.71,2.98,19.67,32.25,18.3
h_0,105.0,71.28,151.0,91.57,103.39,81.48,,36.95,24.11,17.94,16.5,21.38,15.92,,19.35,11.09
e_0,132.22,237.6,,123.27,180.94,,34.72,36.95,32.14,29.9,43.15,19.86,29.57,34.42,3.1,21.53
g_0,99.17,154.96,158.19,110.52,120.62,133.86,26.3,,25.0,20.26,21.58,18.53,27.6,10.07,24.19,
