,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,6.08,2.27,1.99,2.92,2.15,2.04,8.2,17.38,7.03,8.58,10.97,12.0,16.06,8.57,11.16,15.07
f_1,4.11,6.38,1.85,1.91,1.7,1.83,7.86,10.41,7.41,10.93,7.22,10.46,15.69,6.8,12.84,13.82
d_1,2.05,2.53,6.7,1.58,2.23,2.05,8.38,6.2,8.2,19.45,10.42,12.45,15.48,12.75,11.88,17.53
c_1,1.84,2.02,2.01,6.66,4.47,2.2,8.61,9.69,6.78,5.1,10.97,6.69,15.5,10.49,8.42,15.57
b_1,1.93,2.04,2.25,2.23,7.52,4.84,8.0,9.68,8.28,9.09,9.75,6.48,15.8,11.59,8.76,16.36
a_1,2.11,2.7,2.26,2.46,2.07,10.51,7.33,10.66,7.81,7.75,11.2,9.58,18.82,12.38,8.42,14.47
h_1,2.26,3.4,2.74,2.45,2.3,1.99,17.26,9.06,13.29,10.23,10.53,10.91,12.54,12.66,14.06,23.79
d_0,2.15,2.18,1.74,4.36,2.84,2.38,9.14,17.21,9.04,7.2,12.48,11.96,17.12,12.91,15.75,16.92
g_1,2.15,2.28,3.8,2.41,2.33,2.58,8.05,8.48,20.5,10.53,17.32,10.78,15.45,12.37,12.29,12.63
c_0,2.66,2.68,2.87,1.85,1.59,2.41,9.25,12.44,8.97,18.98,12.57,24.07,18.02,11.93,19.24,20.56
f_0,1.98,1.88,2.72,2.89,2.58,2.83,10.04,11.29,10.37,11.4,20.69,13.19,17.75,25.66,14.04,19.2
b_0,2.41,2.91,2.35,2.88,1.64,1.41,10.43,12.27,10.65,9.95,11.66,22.14,18.59,13.8,30.68,19.06
h_0,2.17,3.37,2.65,2.36,2.41,2.76,7.39,11.92,12.56,10.3,11.17,11.19,13.37,12.26,11.47,20.81
e_0,1.8,2.76,2.73,2.6,2.18,2.29,11.07,11.41,12.1,11.74,10.64,13.33,22.31,28.86,18.99,21.28
a_0,2.57,2.5,2.83,2.62,2.45,1.57,10.7,11.33,11.57,12.7,11.61,13.44,15.79,11.12,26.57,17.19
g_0,1.87,2.19,3.94,2.06,2.7,2.4,8.87,9.09,8.64,12.45,17.72,10.88,16.38,14.07,15.07,14.94
