,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.1,1.72,2.96,2.82,3.25,2.71,0.92,0.65,0.95,0.65,0.62,0.83,0.39,0.64,1.07,0.49
f_1,2.72,1.1,2.9,3.22,2.72,2.9,0.64,0.64,0.9,0.6,0.57,0.95,0.33,0.56,0.5,0.48
d_1,3.14,3.58,1.09,3.28,3.0,2.85,0.84,0.67,0.57,0.97,0.56,0.59,0.42,0.58,0.69,0.3
c_1,2.93,3.74,4.95,1.11,3.44,3.41,1.15,1.14,1.24,0.44,0.83,0.69,0.55,0.7,0.73,0.49
b_1,4.48,4.73,4.49,2.36,1.13,4.48,1.29,1.09,1.12,0.88,1.25,0.85,0.64,0.98,0.96,0.72
a_1,5.89,5.41,5.0,5.18,2.58,1.13,1.67,1.3,1.46,1.29,1.67,1.25,0.92,2.6,1.05,0.91
h_1,10.95,12.45,10.69,12.49,10.51,9.28,1.62,2.11,3.59,2.48,2.33,2.26,2.43,2.19,2.05,1.69
c_0,14.65,16.61,7.95,22.56,15.32,13.73,4.08,1.83,3.88,3.48,2.86,2.59,2.17,2.8,2.47,1.9
g_1,15.48,17.93,13.88,14.7,14.95,11.64,3.19,2.65,1.68,2.9,2.99,2.86,1.64,2.89,2.61,2.69
d_0,9.53,14.66,20.01,16.17,17.44,16.35,4.72,3.27,4.93,2.14,3.5,2.79,2.19,3.06,3.2,2.32
b_0,16.62,15.89,13.88,17.22,24.39,14.11,4.54,2.02,4.34,3.1,1.99,2.86,2.13,3.75,3.01,2.06
f_0,17.54,28.75,16.16,17.22,17.82,13.55,4.47,3.17,3.17,3.66,3.42,1.99,2.85,3.53,3.23,1.79
h_0,20.55,21.82,19.34,22.56,21.11,18.39,8.71,4.43,7.25,4.29,5.09,4.55,4.18,3.95,3.46,3.1
a_0,21.85,25.15,18.61,27.45,27.3,26.41,6.29,3.72,5.64,4.57,2.36,3.7,3.28,2.11,3.87,2.75
e_0,31.86,36.96,20.73,27.2,22.63,16.61,6.19,4.79,6.29,5.11,4.77,2.48,3.6,4.74,2.18,3.0
g_0,24.51,29.69,23.1,26.94,25.37,24.24,5.54,5.07,11.38,4.67,5.56,5.19,3.28,5.26,4.71,4.67
