,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,2.25,0.25,0.26,0.17,0.18,0.15,0.37,0.93,0.41,0.44,0.48,0.42,0.55,0.43,0.61,0.1
f_1,0.42,2.3,0.21,0.21,0.19,0.2,0.41,0.41,0.26,0.51,0.09,0.38,0.49,0.3,0.41,0.29
c_1,0.24,0.21,2.39,0.22,0.38,0.15,0.38,0.49,0.31,0.09,0.5,0.35,0.64,0.31,0.55,0.33
d_1,0.2,0.27,0.17,2.41,0.18,0.15,0.43,0.14,0.4,0.88,0.45,0.49,0.66,0.3,0.66,0.34
b_1,0.23,0.19,0.2,0.2,2.52,0.4,0.41,0.37,0.41,0.37,0.51,0.11,0.69,0.3,0.42,0.33
a_1,0.21,0.21,0.24,0.27,0.23,2.94,0.4,0.42,0.38,0.49,0.54,0.46,0.55,0.07,0.47,0.45
h_1,0.3,0.51,0.4,0.46,0.33,0.26,2.77,0.89,0.85,0.77,0.82,0.74,0.31,0.62,1.05,0.7
d_0,0.43,0.4,0.83,0.13,0.35,0.24,0.79,2.28,0.47,0.67,0.76,0.68,0.89,0.73,0.74,0.73
g_1,0.36,0.36,0.44,0.59,0.31,0.36,0.66,0.73,3.06,0.56,1.1,0.63,0.88,0.63,0.25,0.47
c_0,0.44,0.43,0.18,0.51,0.36,0.22,0.88,0.87,0.65,2.4,0.89,1.56,1.01,0.66,0.95,0.61
f_0,0.38,0.25,0.47,0.47,0.29,0.25,0.92,0.93,0.83,0.82,2.35,0.97,1.16,0.85,0.99,1.46
b_0,0.4,0.51,0.4,0.37,0.13,0.18,0.99,1.06,0.69,0.98,0.84,2.66,1.16,1.52,0.95,0.72
h_0,0.31,0.65,0.33,0.41,0.37,0.25,0.33,0.82,0.79,0.86,0.69,0.8,0.39,0.75,1.16,0.52
a_0,0.46,0.52,0.39,0.42,0.29,0.12,0.85,1.11,0.52,0.76,0.97,0.96,1.14,2.95,0.9,0.84
g_0,0.4,0.33,0.31,0.6,0.41,0.21,0.63,0.8,0.34,0.84,1.21,0.82,0.83,0.75,0.38,0.92
e_0,0.17,0.43,0.42,0.47,0.42,0.19,0.99,1.03,0.76,1.17,0.89,0.82,1.14,0.92,1.06,2.96
