,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.27,0.89,0.95,0.98,0.81,0.59,0.53,0.69,0.53,0.56,0.55,0.49,0.49,0.46,0.54
e_1,0.79,1.0,0.92,1.17,1.0,0.89,0.79,0.67,0.75,0.93,0.62,0.68,0.69,0.59,0.58,0.6
d_1,1.12,1.09,1.0,0.81,0.94,0.82,0.73,0.88,0.51,0.88,0.69,0.72,0.6,0.6,0.65,0.45
c_1,1.05,0.86,1.24,1.0,1.33,0.64,0.7,0.49,0.68,0.45,0.54,0.64,0.6,0.58,0.51,0.55
b_1,1.03,0.99,1.07,0.75,1.0,1.44,0.74,0.69,0.77,0.64,0.69,0.61,0.65,0.52,0.59,0.64
a_1,1.22,1.14,1.21,1.55,0.7,1.0,0.92,0.93,0.85,0.75,0.99,0.69,0.77,0.93,0.71,0.77
h_1,1.66,1.28,1.4,1.38,1.31,1.12,1.0,0.85,1.1,0.96,1.11,0.85,0.92,0.74,0.72,0.93
c_0,1.79,1.52,1.11,1.97,1.32,1.19,1.16,1.0,0.81,0.99,1.4,1.0,0.88,0.97,0.93,0.8
g_1,1.46,1.31,1.96,1.5,1.39,1.19,0.9,1.21,1.0,0.92,0.79,1.2,0.82,1.05,0.83,1.08
d_0,1.84,1.09,1.21,2.31,1.45,1.34,1.05,0.96,1.1,1.0,0.95,0.86,0.82,0.87,0.76,0.9
b_0,1.77,1.61,1.41,1.93,1.5,1.06,0.84,0.75,1.25,1.06,1.0,0.97,0.94,1.45,1.0,1.07
f_0,1.97,1.45,1.4,1.61,1.64,1.39,1.23,0.99,0.82,1.05,1.07,1.0,1.03,0.98,1.55,0.68
h_0,2.0,1.53,1.58,1.76,1.49,1.38,1.09,1.13,1.27,1.19,1.06,0.93,1.0,1.01,0.92,1.25
a_0,2.11,1.71,1.71,1.6,1.87,1.2,1.34,1.05,1.0,1.09,0.71,0.98,0.97,1.0,1.0,1.06
e_0,2.17,1.73,1.57,1.83,1.7,1.45,1.28,1.05,1.22,1.24,1.05,0.61,1.06,0.91,1.0,1.13
g_0,1.93,1.66,2.13,1.82,1.52,1.34,1.09,1.21,0.95,1.05,0.98,1.51,0.77,0.97,0.88,1.0
