,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,3.54,0.73,0.43,0.42,0.31,0.35,0.84,0.59,0.82,0.67,0.71,0.15,0.85,0.72,0.48,0.78
e_1,0.45,3.68,0.31,0.45,0.41,0.32,0.73,0.47,0.74,1.61,0.8,0.84,0.96,0.94,0.23,0.99
d_1,0.37,0.39,4.28,0.34,0.37,0.46,0.82,0.83,1.52,0.15,0.89,0.89,0.83,0.76,0.76,1.02
c_1,0.41,0.34,0.4,4.46,0.76,0.36,0.65,0.71,0.13,0.8,0.66,0.84,0.93,0.75,0.98,0.7
b_1,0.41,0.37,0.38,0.49,4.94,0.68,0.61,0.8,0.77,0.71,0.19,0.82,0.82,0.6,0.79,0.83
a_1,0.39,0.31,0.36,0.34,0.47,7.22,0.9,0.93,0.86,1.0,0.99,0.85,0.84,0.32,0.63,0.97
h_1,0.94,0.66,0.61,0.7,0.62,0.59,5.48,1.84,1.31,1.19,1.55,1.22,0.67,1.81,1.57,1.97
g_1,0.54,0.54,1.21,0.55,0.67,0.71,0.86,6.57,1.77,0.81,1.69,2.77,1.31,1.4,1.6,0.67
c_0,0.88,0.6,0.85,0.3,0.53,0.61,1.5,1.48,3.87,1.62,2.89,2.11,1.64,1.44,1.55,2.01
d_0,0.78,0.69,0.18,1.42,0.65,0.52,1.49,1.11,0.95,3.83,1.41,1.0,1.86,1.26,1.59,1.43
b_0,0.8,0.75,0.83,0.61,0.27,0.52,1.63,1.61,1.65,1.28,4.62,1.77,1.61,2.45,1.94,1.43
f_0,0.3,0.59,0.77,0.55,0.65,1.12,1.4,1.55,1.35,1.59,1.94,5.56,2.1,1.77,5.02,1.54
h_0,1.1,0.62,0.7,0.62,0.67,0.63,,1.36,1.2,1.0,1.32,1.32,0.42,1.38,1.75,1.59
a_0,0.86,0.63,0.87,1.0,0.6,,1.09,0.93,1.54,1.33,1.5,1.32,1.92,5.91,1.13,1.49
e_0,0.74,0.22,1.05,0.66,0.52,0.66,1.43,2.16,1.45,1.91,1.67,1.89,1.85,2.56,7.76,1.29
g_0,0.64,0.56,1.26,0.73,0.56,0.54,1.35,0.7,1.11,1.18,1.47,2.04,1.45,1.44,2.1,
