,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.04,1.26,0.89,0.97,0.89,0.99,0.85,1.01,1.32,1.25,,0.88,0.77,0.88,1.22
c_1,0.96,1.0,1.03,1.37,1.46,1.12,0.77,0.78,,1.14,0.95,0.88,0.97,0.96,0.97,1.1
e_1,0.79,0.97,1.0,1.12,0.91,0.94,1.08,1.24,1.08,1.04,1.15,0.87,0.78,1.03,,0.98
b_1,1.12,0.73,0.89,1.0,1.1,1.35,1.28,0.88,1.04,1.21,,0.98,1.08,0.94,1.02,0.85
d_1,1.03,0.68,1.1,0.91,1.0,0.84,0.9,,1.62,0.66,1.04,1.08,1.39,1.11,1.1,0.81
a_1,1.12,0.89,1.06,0.74,1.2,1.0,1.13,0.96,0.87,0.87,0.97,1.03,,1.13,1.17,1.05
h_1,1.01,1.29,0.93,0.78,1.11,0.88,1.0,0.97,1.0,1.15,1.12,0.82,1.06,,,1.05
d_0,1.18,1.28,0.81,1.13,,1.05,1.03,1.0,1.05,0.91,0.7,0.98,0.77,0.95,1.1,0.97
c_0,0.99,,0.93,0.97,0.62,1.15,1.0,0.96,1.0,1.02,1.23,1.26,1.05,1.16,1.05,1.02
g_1,0.76,0.88,0.96,0.82,1.52,1.15,0.87,1.1,0.98,1.0,1.02,1.22,1.0,1.11,,
b_0,0.8,1.05,0.87,,0.96,1.04,0.89,1.43,0.81,0.98,1.0,0.87,1.83,0.9,1.0,1.33
f_0,,1.14,1.15,1.02,0.93,0.97,1.22,1.02,0.8,0.82,1.15,1.0,,1.05,1.36,0.81
a_0,1.14,1.03,1.28,0.93,0.72,,0.94,1.3,0.96,1.0,0.55,,1.0,1.37,,0.94
h_0,1.29,1.04,0.97,1.06,0.9,0.88,,1.05,0.86,0.9,1.11,0.95,0.73,,0.91,1.11
e_0,1.14,1.03,,0.98,0.91,0.86,,0.91,0.95,,1.0,0.74,,1.1,1.0,0.95
g_0,0.82,0.91,1.02,1.18,1.23,0.95,0.95,1.04,0.98,,0.75,1.23,1.07,0.9,1.05,
