,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.73,0.89,1.09,0.96,0.83,0.51,0.57,0.5,0.44,0.38,0.44,0.34,0.37,0.35,0.35
f_1,1.38,1.0,0.9,0.94,0.87,0.64,0.38,0.46,0.41,0.38,0.37,0.36,0.3,0.3,0.33,0.22
d_1,1.11,1.1,1.0,0.92,0.88,0.71,0.52,0.53,0.34,0.57,0.49,0.39,0.38,0.33,0.26,0.29
c_1,0.91,1.07,1.09,1.0,1.28,0.72,0.53,0.33,0.43,0.34,0.33,0.34,0.35,0.32,0.33,0.32
b_1,1.04,1.15,1.12,0.78,1.0,1.13,0.56,0.48,0.47,0.48,0.39,0.46,0.36,0.33,0.33,0.4
a_1,1.19,1.57,1.41,1.39,0.87,1.0,0.68,0.61,0.67,0.58,0.74,0.57,0.54,0.6,0.42,0.43
h_1,1.9,2.62,1.98,1.87,1.77,1.45,1.0,0.99,1.05,0.87,0.67,0.77,0.74,0.65,0.94,0.69
d_0,1.76,2.06,1.96,3.15,2.18,1.66,1.0,1.0,0.99,0.72,0.89,0.89,0.88,0.67,0.8,0.69
g_1,2.11,2.24,2.96,2.37,2.17,1.53,0.96,0.96,1.0,0.89,0.88,1.11,0.71,0.75,0.76,0.82
c_0,2.32,2.5,1.76,3.02,2.13,1.71,1.15,1.32,1.08,1.0,1.38,0.98,0.95,0.88,0.81,0.79
b_0,2.65,2.71,2.21,2.96,2.35,1.34,1.48,1.07,1.13,0.73,1.0,1.06,0.97,1.19,0.76,0.68
f_0,2.29,2.68,2.58,2.83,2.2,1.84,1.31,1.17,0.89,0.99,0.93,1.0,0.92,0.78,0.73,1.19
h_0,2.93,3.37,2.5,2.87,2.91,1.75,1.4,1.17,1.44,1.03,1.05,1.02,1.0,0.85,1.02,0.89
a_0,2.79,3.24,3.09,3.24,3.14,1.77,1.53,1.48,1.31,1.13,0.83,1.15,1.23,1.0,1.25,0.92
g_0,3.0,3.02,3.75,3.06,3.01,2.24,1.07,1.29,1.35,1.3,1.3,1.34,1.01,0.84,1.0,1.04
e_0,3.12,4.8,3.35,3.01,2.65,2.11,1.55,1.43,1.42,1.3,1.44,0.81,1.13,1.07,1.01,1.0
