,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.51,1.01,0.7,0.73,0.65,0.47,0.63,0.68,0.72,0.63,0.74,0.45,0.6,0.7,0.81,0.44
e_1,0.71,1.51,0.62,0.73,0.6,0.52,0.94,0.76,1.36,0.88,0.94,0.92,0.78,0.87,0.84,0.52
d_1,0.73,0.68,1.54,0.61,0.58,0.66,0.75,0.66,0.52,1.33,0.95,0.77,0.68,0.98,0.7,0.79
c_1,0.73,0.72,0.68,1.56,1.02,0.5,0.7,0.64,0.66,0.4,0.61,0.71,0.69,0.8,0.71,0.55
b_1,0.67,0.67,0.77,0.61,1.62,1.0,0.82,0.76,0.88,0.71,0.44,0.89,0.6,0.88,0.76,0.72
a_1,0.83,0.78,0.77,0.74,0.59,1.72,1.04,0.86,0.83,0.91,0.75,0.73,0.61,1.05,0.8,0.68
h_1,1.22,0.79,0.96,0.92,0.74,0.64,1.74,1.23,1.15,1.1,0.94,0.9,0.81,0.85,1.3,0.93
g_1,0.88,0.95,1.44,1.02,0.72,0.71,0.87,1.81,0.7,0.98,0.98,1.2,0.75,1.05,0.93,0.81
d_0,1.0,0.76,0.71,1.54,0.9,0.78,1.08,1.13,1.59,0.89,0.99,0.99,0.99,1.12,1.02,0.86
c_0,1.14,0.96,0.86,0.75,0.75,0.75,1.02,1.2,1.26,1.63,2.04,1.17,1.18,1.25,1.11,0.92
b_0,1.12,0.94,0.94,1.09,0.83,0.72,1.15,1.04,1.22,0.86,1.61,0.89,1.9,1.36,1.18,0.97
f_0,0.92,0.82,1.11,1.07,0.8,0.9,1.26,0.95,1.31,1.13,1.22,1.69,1.02,1.12,1.07,1.93
a_0,1.24,0.96,1.04,1.07,0.95,0.48,1.23,1.23,1.1,0.98,1.06,1.01,1.73,1.24,1.13,0.7
h_0,1.52,1.04,1.04,1.0,0.82,0.62,0.81,1.41,1.08,1.03,1.03,1.07,1.02,0.98,1.38,0.98
g_0,0.96,0.99,1.4,1.02,0.92,0.91,1.1,0.81,1.24,1.07,1.05,1.59,1.17,1.22,0.93,1.11
e_0,1.24,0.87,1.05,1.28,0.86,0.79,1.13,1.13,1.24,1.27,1.19,0.66,1.32,1.38,1.21,1.81
