,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.76,0.95,1.05,0.93,0.71,0.53,0.54,0.43,0.63,0.43,0.49,0.38,0.32,0.36,0.35
f_1,1.31,1.0,0.93,0.94,0.76,0.67,0.42,0.45,0.41,0.41,0.4,0.35,0.27,0.3,0.27,0.29
d_1,1.05,1.09,1.0,0.93,0.81,0.61,0.53,0.36,0.55,0.5,0.47,0.4,0.34,0.3,0.33,0.27
c_1,0.94,1.07,1.07,1.0,1.33,0.56,0.48,0.52,0.41,0.34,0.43,0.39,0.38,0.36,0.32,0.34
b_1,1.07,1.31,1.26,0.75,1.0,1.35,0.58,0.55,0.57,0.44,0.46,0.44,0.41,0.34,0.38,0.37
a_1,1.4,1.49,1.65,1.81,0.74,1.0,0.87,0.62,0.59,0.74,0.66,0.59,0.64,0.46,0.48,0.54
h_1,1.92,2.37,1.88,2.05,1.61,1.21,1.0,1.02,0.82,0.79,0.79,0.67,0.65,0.68,0.63,0.73
g_1,1.9,2.12,2.78,2.03,1.85,1.56,1.01,1.0,0.94,0.79,0.84,1.09,0.72,0.73,0.68,0.68
c_0,2.39,2.4,1.78,2.59,1.69,1.71,1.18,1.02,1.0,1.08,1.27,0.9,0.83,0.78,0.75,0.76
d_0,1.63,2.27,2.06,2.95,2.3,1.34,1.26,1.19,0.91,1.0,0.84,0.86,0.8,0.82,0.72,0.81
b_0,2.43,2.47,2.06,2.49,2.02,1.35,1.27,1.15,0.76,1.16,1.0,0.95,0.95,1.14,0.81,0.73
f_0,2.04,2.79,2.47,2.6,2.25,1.63,1.43,0.94,1.06,1.14,1.05,1.0,0.93,0.93,1.29,0.6
h_0,2.72,3.57,2.97,2.57,2.25,1.57,1.54,1.37,1.17,1.26,1.04,1.11,1.0,0.96,0.9,1.15
a_0,3.13,3.09,3.29,2.8,3.09,2.24,1.48,1.45,1.29,1.15,0.93,1.13,1.04,1.0,0.84,0.92
e_0,3.04,4.08,3.12,3.33,2.6,1.97,1.59,1.41,1.2,1.28,1.31,0.83,1.03,1.25,1.0,0.97
g_0,3.03,3.25,3.85,2.94,2.43,1.94,1.4,1.54,1.29,1.28,1.33,1.6,0.87,1.09,1.03,1.0
