,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.44,0.92,1.98,1.91,2.12,1.76,0.51,0.37,0.34,0.58,0.32,0.4,0.3,0.31,0.64,0.29
f_1,1.63,0.43,1.73,1.52,1.56,1.41,0.37,0.39,0.36,0.63,0.36,0.77,0.19,0.38,0.34,0.3
c_1,1.33,1.9,0.42,2.38,1.75,1.51,0.55,0.18,0.58,0.53,0.34,0.31,0.25,0.36,0.38,0.27
d_1,2.46,1.83,1.76,0.41,1.97,1.58,0.48,0.78,0.29,0.32,0.35,0.4,0.23,0.35,0.31,0.14
b_1,2.07,2.44,1.05,2.15,0.38,2.19,0.62,0.47,0.65,0.6,0.91,0.35,0.27,0.5,0.38,0.31
a_1,2.43,2.51,2.61,2.54,1.03,0.33,0.66,0.55,0.46,0.74,0.65,0.43,0.44,0.8,0.39,0.43
h_1,2.78,3.0,2.91,2.82,3.01,2.61,0.32,0.63,0.63,0.73,0.55,0.51,0.58,0.51,0.48,0.39
d_0,1.75,3.28,3.27,5.14,3.55,3.24,1.02,0.4,0.57,0.93,0.63,0.65,0.42,0.56,0.6,0.57
c_0,3.32,3.93,5.34,1.82,3.63,2.73,0.91,0.87,0.37,1.01,0.71,0.61,0.47,0.58,0.6,0.42
g_1,3.32,4.1,3.55,2.87,3.33,3.31,0.61,0.72,0.66,0.28,0.74,0.64,0.37,0.55,0.61,0.72
b_0,2.93,3.33,4.65,2.41,8.47,3.11,0.98,0.63,0.35,1.01,0.34,0.64,0.44,0.59,0.59,0.53
f_0,3.11,8.12,4.03,3.15,3.57,3.62,0.97,0.67,0.7,0.54,0.69,0.33,0.6,0.51,0.58,0.33
h_0,3.68,4.49,3.51,3.63,3.94,3.74,1.9,0.78,0.84,1.19,0.75,0.9,0.85,0.73,0.8,0.51
a_0,4.44,4.55,3.81,3.34,5.84,7.84,1.21,0.79,0.82,0.93,0.48,0.76,0.57,0.32,0.6,0.6
e_0,5.97,5.19,4.22,3.85,3.96,4.07,1.0,0.88,0.87,1.02,0.95,0.47,0.62,0.98,0.33,0.52
g_0,4.47,5.22,4.72,3.77,4.62,4.29,0.95,1.0,0.87,1.73,0.78,0.83,0.49,0.8,0.91,0.82
