,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,10732.59,6451.23,9900.06,7181.49,14867.01,54640.58,8703371.45,34855096.36,21621791.01,28903204.05,37741244.06,69051732.07,191265564.91,196252455.89,161848939.31,361806459.53
f_1,8017.4,13331.72,7600.63,7503.02,12512.75,54410.99,8948703.91,23045959.95,19837031.12,31642728.61,37021319.22,49662031.12,188437988.36,186799379.24,135994640.03,378383602.15
c_1,4432.14,6212.9,17866.34,7357.04,26736.71,60826.1,8927532.52,20362562.65,18511549.87,18382004.28,23947623.37,60999505.25,197581343.01,151977199.36,214873537.7,393968340.78
d_1,5242.28,6499.15,6028.12,19170.65,13438.07,61468.19,10015203.03,15848032.0,24801986.8,57324656.65,48497301.72,70862647.09,211285795.09,219751395.45,227344247.67,420587882.72
b_1,4208.19,6323.34,7660.42,7660.96,40735.29,132276.57,10350281.86,18786331.76,18960779.36,30926590.2,24864252.73,61758743.82,218815775.8,129002529.07,213838832.89,416337788.6
a_1,4871.9,7189.37,8553.93,7929.02,14201.27,234614.42,10666959.24,19519905.05,18061656.67,28447361.7,40793445.37,62851633.87,225178792.2,131970935.17,242051321.7,382579090.47
h_1,4563.22,8323.75,8988.48,9159.73,16283.12,56790.38,18014110.81,18924299.86,27044630.54,26533244.01,36860128.68,63248725.2,197588242.55,192592349.45,248550970.23,531717218.03
d_0,5163.06,6209.96,13948.95,5397.5,19329.06,65775.13,11276752.82,32305276.06,19922968.17,21871641.67,32636921.86,65227268.43,216848926.62,168953040.24,245976810.51,430489847.93
g_1,4985.09,5523.63,7745.3,13606.69,15878.94,51643.75,11009484.27,17600928.89,46812057.5,38113152.48,40033799.99,106804425.52,185738498.23,210397607.5,261751593.94,390162565.44
c_0,6167.96,6822.26,7619.45,9542.74,11829.53,60435.89,10912096.13,23320944.69,23628683.65,50465189.59,65144024.32,71408937.66,223324871.73,259918038.43,239696213.21,445105244.0
b_0,5200.66,6547.75,9813.01,9846.66,12934.64,45716.92,10007057.78,22852314.72,23338976.25,34838912.61,60357861.7,73946311.08,224458500.52,354281388.13,280389140.56,485774758.68
f_0,4806.8,6153.76,9280.83,9642.24,17005.03,64428.86,12356010.12,23107921.7,26887592.52,36158610.11,42840498.47,119702323.58,244034195.67,212006586.06,451876941.7,450311153.29
h_0,5142.13,8420.62,7975.45,10611.8,12802.34,54315.15,8722278.87,19011388.3,27394732.31,34479999.81,40537267.65,78571803.41,186466884.5,186270564.47,247153428.74,578113163.97
a_0,5756.55,6445.69,8535.51,10185.97,17474.76,40905.94,9946140.31,24379079.36,23862631.01,35583562.91,38543979.5,71006480.59,211795369.87,351616499.97,242069443.05,429680804.85
e_0,4397.56,7536.37,9543.95,8516.94,16804.64,66931.52,12690102.35,19608310.7,25993425.82,32270161.64,39564153.56,76245038.6,269371237.04,198312914.29,445758078.07,488698025.63
g_0,4687.69,6969.99,8186.43,12389.04,15406.49,64300.66,9695233.32,18235208.16,20037042.73,35910334.41,39683874.35,98010947.31,271935577.99,179297480.57,297635780.69,401710582.33
