,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,0.42,0.86,1.32,1.34,1.28,1.36,0.83,0.71,0.73,0.58,0.66,0.62,0.58,0.59,0.54,1.35
f_1,1.39,0.41,1.35,1.14,1.43,1.42,0.56,0.59,0.69,0.59,0.73,0.52,0.33,0.5,0.54,0.5
c_1,1.15,1.31,0.39,1.55,1.6,1.18,0.65,0.36,0.62,0.86,0.54,0.58,0.6,0.63,0.63,0.57
d_1,1.53,1.4,1.22,0.39,1.34,1.07,0.62,1.23,0.51,0.63,0.55,0.66,0.49,0.54,0.37,0.57
b_1,1.42,1.32,0.8,1.38,0.37,1.48,0.75,0.59,0.77,0.56,0.75,1.17,0.5,0.74,0.4,0.53
a_1,1.4,1.17,1.47,1.51,0.72,0.32,0.74,0.63,0.58,0.75,0.69,0.91,0.56,1.14,0.63,1.01
h_1,0.89,1.07,1.09,0.97,0.9,0.95,0.26,0.41,0.6,0.37,0.35,0.37,0.51,0.37,0.43,0.35
d_0,0.58,1.11,1.2,1.39,1.15,1.04,0.49,0.28,0.55,0.45,0.39,0.37,0.38,0.39,0.37,0.39
g_1,0.86,1.25,1.12,1.01,0.86,0.99,0.42,0.52,0.23,0.41,0.4,0.42,0.3,0.5,0.5,0.39
c_0,1.0,0.93,2.13,0.63,1.1,0.91,0.55,0.56,0.67,0.26,0.45,0.45,0.36,0.47,0.38,0.35
f_0,0.91,2.19,0.94,0.91,0.81,0.81,0.52,0.46,0.42,0.39,0.26,0.45,0.4,0.38,0.27,0.5
b_0,0.93,1.05,1.09,0.75,1.68,0.82,0.54,0.51,0.61,0.25,0.37,0.24,0.34,0.48,0.32,0.41
h_0,0.92,1.23,0.83,0.81,0.9,0.95,0.98,0.51,0.56,0.45,0.39,0.41,0.59,0.42,0.44,0.37
a_0,0.83,1.09,0.94,1.06,1.03,1.8,0.57,0.37,0.49,0.44,0.37,0.25,0.34,0.21,0.31,0.35
g_0,0.85,1.13,0.91,0.88,1.15,0.87,0.46,0.51,1.1,0.42,0.45,0.45,0.29,0.5,0.57,0.4
e_0,1.62,1.16,0.97,0.92,1.04,0.67,0.48,0.41,0.65,0.5,0.24,0.4,0.44,0.42,0.27,0.2
