,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,0.41,0.72,0.62,0.69,0.63,0.59,0.28,0.36,0.33,0.29,0.36,0.3,0.2,0.3,0.26,0.28
e_1,0.47,0.41,0.67,0.76,0.7,0.67,0.39,0.39,0.39,0.3,0.39,0.37,0.27,0.33,0.44,0.29
d_1,0.74,0.78,0.4,0.63,0.64,0.57,0.34,0.27,0.46,0.33,0.28,0.28,0.25,0.27,0.3,0.19
c_1,0.65,0.56,0.79,0.38,0.81,0.71,0.35,0.34,0.19,0.32,0.29,0.26,0.25,0.3,0.3,0.24
b_1,0.73,0.62,0.75,0.43,0.35,0.82,0.39,0.4,0.29,0.37,0.28,0.4,0.3,0.27,0.3,0.25
a_1,0.8,0.72,0.81,0.72,0.37,0.3,0.36,0.4,0.28,0.36,0.32,0.42,0.29,0.39,0.29,0.27
h_1,0.7,0.64,0.63,0.65,0.55,0.54,0.24,0.36,0.3,0.25,0.26,0.28,0.29,0.24,0.24,0.27
g_1,0.66,0.63,0.68,0.66,0.59,0.54,0.29,0.23,0.28,0.3,0.32,0.29,0.19,0.29,0.28,0.27
d_0,0.62,0.42,0.71,0.84,0.65,0.79,0.34,0.38,0.23,0.27,0.3,0.28,0.24,0.31,0.24,0.29
c_0,0.7,0.65,0.42,0.95,0.68,0.61,0.43,0.33,0.43,0.22,0.28,0.37,0.25,0.31,0.3,0.22
f_0,0.78,0.55,0.58,0.59,0.69,0.58,0.38,0.27,0.28,0.29,0.21,0.26,0.25,0.29,0.31,0.18
b_0,0.65,0.57,0.53,0.89,0.84,0.5,0.37,0.35,0.32,0.17,0.31,0.21,0.23,0.39,0.26,0.24
h_0,0.65,0.58,0.59,0.7,0.57,0.52,0.43,0.39,0.31,0.28,0.29,0.27,0.27,0.28,0.24,0.24
a_0,0.63,0.59,0.59,0.69,0.79,0.82,0.38,0.29,0.29,0.25,0.31,0.18,0.22,0.19,0.29,0.22
e_0,0.77,0.71,0.62,0.61,0.61,0.62,0.39,0.31,0.35,0.26,0.17,0.29,0.27,0.27,0.19,0.2
g_0,0.63,0.58,0.63,0.7,0.63,0.63,0.27,0.38,0.28,0.27,0.28,0.25,0.2,0.25,0.3,0.26
