,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.52,1.0,0.91,1.2,0.95,0.81,1.13,1.77,1.11,1.07,1.21,1.21,1.37,1.02,0.84,1.14
f_1,1.47,1.54,0.91,1.01,0.82,0.74,1.12,1.27,1.11,1.04,1.18,0.92,1.11,0.98,0.74,1.24
d_1,1.07,1.14,1.58,0.76,0.94,0.87,1.21,0.97,1.78,0.99,1.35,1.16,1.29,1.08,1.02,1.11
c_1,0.9,1.01,1.09,1.61,1.52,0.92,1.14,1.09,0.92,1.05,0.95,1.06,1.24,0.86,0.99,1.18
b_1,1.03,1.12,1.04,0.87,1.65,1.47,1.17,1.22,1.24,1.26,1.04,1.31,1.22,0.88,1.15,1.13
a_1,1.19,1.33,1.02,1.05,0.85,1.75,1.42,1.43,1.23,0.97,1.29,1.09,1.43,1.04,1.18,1.45
h_1,1.28,1.5,1.35,1.19,1.04,0.83,1.86,1.37,1.53,1.54,1.45,1.4,1.41,1.35,1.15,1.73
d_0,1.19,1.31,1.06,1.81,1.31,1.04,1.39,1.78,1.16,1.33,1.37,1.41,1.69,1.24,1.24,1.6
c_0,1.45,1.54,1.22,1.08,1.06,1.1,1.64,1.48,1.87,1.4,2.17,1.46,1.54,1.61,1.34,1.61
g_1,1.16,1.23,1.77,1.19,1.07,1.17,1.46,1.35,1.58,1.98,1.48,1.89,1.51,1.16,1.64,1.33
b_0,1.37,1.39,1.34,1.38,1.02,0.94,1.62,1.55,1.47,1.42,1.85,1.43,1.71,2.14,1.3,1.56
f_0,1.1,1.37,1.43,1.44,1.17,1.13,1.57,1.56,1.59,1.36,1.66,1.93,1.73,1.41,2.13,1.37
h_0,1.36,1.67,1.41,1.37,1.31,1.09,1.55,1.49,1.62,1.8,1.56,1.55,1.49,1.31,1.41,1.86
a_0,1.46,1.51,1.42,1.48,1.29,0.81,1.62,1.55,1.47,1.58,1.34,1.67,1.93,1.96,1.27,1.6
e_0,1.32,1.68,1.45,1.3,1.25,1.16,1.85,1.6,1.7,1.46,1.92,1.54,1.76,1.58,1.97,1.53
g_0,1.38,1.27,1.83,1.32,1.32,1.02,1.57,1.4,1.68,1.3,1.69,2.1,1.59,1.56,1.66,1.55
