,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.45,20.6,34.59,30.16,25.72,41.54,8.47,7.85,8.72,6.39,9.37,7.78,10.69,5.45,3.98,
f_1,29.47,0.45,36.16,30.6,26.11,43.72,6.71,17.98,7.4,7.24,5.52,,5.46,2.99,9.28,7.51
d_1,37.03,28.59,0.43,55.25,31.61,35.66,12.04,6.97,,5.84,7.49,5.23,6.31,4.27,4.2,
c_1,42.03,37.7,42.69,0.42,34.25,36.95,8.18,8.55,3.68,,7.12,5.7,9.47,5.14,6.5,6.74
b_1,51.13,46.3,37.65,20.54,0.39,33.71,9.39,9.24,7.75,9.99,,11.01,9.8,4.84,5.93,6.15
a_1,62.77,46.91,36.98,63.64,32.24,0.32,,10.21,12.26,9.99,8.67,8.06,,6.99,5.77,
h_1,16.56,15.87,15.25,16.68,22.33,,0.38,4.42,3.03,4.3,3.68,3.66,2.78,,3.76,3.49
g_1,23.85,22.56,19.76,17.85,25.03,19.91,4.13,0.35,3.93,3.29,3.52,3.78,4.82,2.31,,4.47
d_0,8.61,18.73,,15.95,15.56,14.39,4.27,5.4,0.49,3.65,3.23,3.33,2.44,2.19,2.16,2.76
c_0,12.86,16.94,7.62,,26.25,12.99,4.78,4.55,5.27,0.48,3.42,5.42,3.15,1.93,1.68,3.03
b_0,14.11,12.33,17.17,22.31,,20.43,4.57,6.54,3.21,2.07,0.47,2.85,3.85,3.11,2.31,2.75
f_0,21.45,,23.34,19.79,13.29,25.08,5.51,2.41,2.69,2.94,3.39,0.45,3.93,5.5,1.22,3.35
a_0,29.07,18.64,21.66,21.92,24.33,,6.17,5.91,4.31,4.21,2.89,5.38,0.38,1.72,2.16,
h_0,14.04,15.55,11.31,10.14,11.7,10.56,,6.66,2.43,2.51,2.3,2.08,4.53,,1.41,1.64
g_0,18.82,15.72,17.32,16.69,22.83,19.46,2.57,,2.64,2.87,2.45,3.3,3.7,1.19,,3.25
e_0,,35.06,,15.85,21.11,,4.43,4.36,5.24,6.4,5.86,2.18,,3.17,3.58,0.39
