,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,8356.42,994.21,1063.53,2031.54,4395.46,17468.1,1016392.52,8687648.24,3967513.61,7968667.17,13621441.97,11223912.6,36330679.84,66525017.2,73503447.26,23267016.82
f_1,1599.09,8819.63,1476.92,2101.06,5535.39,12026.94,1228665.66,3683831.11,3840071.52,8549914.32,7879032.4,1782787.71,25237389.64,52236628.42,62107239.47,37058754.41
d_1,879.74,1062.54,16182.14,1596.18,5233.44,16172.82,1182981.31,951179.74,4035018.77,13709269.56,10194690.22,11432137.63,32576304.0,49736006.28,70749387.48,70377852.0
c_1,896.12,999.82,1707.91,22635.14,10469.04,11436.25,930697.0,4006315.3,4706904.36,1133483.75,8988230.09,8711477.84,25920369.27,44281735.28,43819088.99,58535760.54
b_1,866.91,832.3,1720.14,1896.29,80454.97,28705.26,1243741.4,3113289.82,4479800.35,4873499.9,2107940.8,11741719.36,26370464.56,54750232.62,62399245.09,84941652.52
a_1,783.23,889.98,1600.51,2179.29,4911.92,281926.67,1181940.59,4356790.42,4395593.58,7884626.62,9406021.55,10875970.46,6054443.39,71915170.42,119178682.4,57817427.35
h_1,1411.79,2212.19,3032.9,3458.43,9695.1,22230.17,6930095.75,5028381.95,9382972.61,12491308.56,17730816.19,18224092.0,52090314.58,31938726.95,159814034.24,122824922.07
d_0,1287.45,1782.01,829.11,7473.56,12202.54,28267.17,1706143.77,18920217.3,7418170.01,9790209.6,18022569.42,16784305.56,44238357.07,88128603.55,112207439.27,122023738.51
g_1,1345.83,1388.81,4371.66,3570.81,7592.54,23655.47,1617913.43,5775115.13,37615852.19,11381968.2,16201473.56,32036826.04,43693996.64,66129034.96,59936893.03,121950392.25
c_0,2018.4,1880.09,2955.12,1326.13,10691.98,27905.25,1659551.41,8637706.69,6069600.53,35587240.28,33046714.28,19883288.59,41833798.11,93214549.44,162504397.39,103124526.72
b_0,1578.81,2136.62,3282.33,3910.65,,18104.57,1972418.95,8283445.91,7771147.27,11422430.03,58033386.36,19419391.12,95193304.4,80635214.78,154993565.54,131747338.95
f_0,1618.96,708.72,3460.58,4251.86,9676.09,28134.27,1836452.29,8313404.13,6889339.87,11105498.91,19140981.42,60974680.81,61268667.99,95284831.32,157548404.53,239961749.57
a_0,1389.43,1797.06,3247.23,4681.28,10202.49,,2234383.02,9237164.54,6088922.45,12585670.14,20280432.78,18113885.84,218895907.89,100204937.68,142720319.4,137000010.63
h_0,1477.91,2524.72,2900.64,3372.97,6589.75,33530.71,942076.17,8269920.61,9560808.03,9271053.31,16015249.72,16306958.8,48091070.2,37335270.47,195577329.76,83378686.73
g_0,1506.53,1400.98,4538.58,4017.74,8409.44,21724.55,2015487.37,7062774.85,,10356840.56,21891535.32,28894804.49,52345776.14,87082266.24,59133449.42,108906424.07
e_0,372.46,2554.45,3238.16,4258.25,10565.69,29877.93,1915730.32,7358701.17,7630051.02,11897533.72,17317776.2,16773053.51,52934945.65,90730964.54,157108325.19,453878169.57
