,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,9533.85,2118.2,1560.15,1669.52,2826.58,13943.46,1355581.92,3088816.18,4641985.06,6551777.82,7968521.62,2604571.33,42226073.08,31705557.78,45822310.17,108652816.47
e_1,1149.98,10410.4,1478.83,2008.53,2763.75,18189.87,1429535.43,3108311.28,10096532.91,6714916.22,7013555.13,16419155.82,37131772.63,50447922.3,15807644.86,140548935.68
d_1,1114.24,933.95,18492.11,1650.85,2657.36,14635.78,1469025.19,3506471.4,1433916.67,13128844.93,8728018.36,17922754.52,44148903.11,44525398.78,78022328.64,150936938.46
c_1,946.74,978.09,1697.96,20379.06,5754.36,13724.5,1337748.21,4880756.5,5657396.98,1162841.02,5170253.34,15074003.87,43264626.16,38954562.36,60115774.98,123421196.05
b_1,911.3,1044.5,1766.91,2060.59,36150.06,31558.9,1508699.08,3473584.21,5639362.11,6013029.33,2287270.24,17684526.7,41083565.78,40456475.31,62433569.24,112934051.95
a_1,1070.43,977.96,2120.58,1976.27,2286.49,303793.16,1514775.4,3974181.61,5905945.14,6141787.98,6847004.31,16807479.15,39956359.11,13606281.55,69991986.4,127149738.41
h_1,2479.16,1794.81,2963.81,2991.46,4509.47,21518.15,9795138.3,8622532.12,7969225.16,13561300.18,12261415.62,33592351.04,25984120.19,67875342.33,132221793.49,329955291.04
g_1,1519.43,1063.66,5283.63,3599.16,6049.97,17557.39,2513165.04,33552659.76,6623771.56,9906793.96,13009685.09,47714849.63,58270036.96,72962019.04,114804822.55,81868606.05
d_0,2069.94,1603.54,1100.45,6312.76,5414.35,31728.01,2483739.69,6544699.15,24269356.55,7209589.41,10983761.96,35755176.53,59681884.45,102666775.26,104881659.64,270814626.45
c_0,2138.38,2066.38,3500.42,1423.05,3946.1,27667.9,2578291.14,8954338.38,9665898.9,31822326.61,26639490.28,29685111.68,80806130.39,113873359.89,126527448.97,288304737.74
b_0,1895.44,2206.99,3990.09,3124.03,1584.31,25587.51,2167036.62,8042508.2,8823672.43,11261490.44,39982980.21,29223910.51,61142885.29,215791908.57,106179057.71,300992612.93
f_0,637.95,1416.78,3753.44,4606.02,5120.48,26929.51,3049940.01,7448599.91,10614878.85,11964091.47,13047484.13,100264133.46,75545019.04,108617666.36,255843852.06,376710089.36
h_0,2548.17,1581.68,3390.65,2775.5,5624.33,30582.02,887022.08,8310468.55,7827661.07,8192045.6,11344375.03,31732360.76,28205376.97,64920904.03,116885723.4,343369081.45
a_0,2060.53,1756.28,2626.97,3316.87,6031.64,13639.62,2672586.01,6539290.31,10082434.1,10384721.72,15171936.5,28120350.25,70376078.58,320304564.16,154705519.62,286201821.14
e_0,1908.69,840.13,2984.48,3946.42,5991.06,31735.63,3175115.46,9326575.52,8681386.15,15265630.46,13694314.08,38336879.77,76755779.75,90668571.35,522650893.51,263590345.81
g_0,1640.33,1678.67,4638.15,3504.62,4172.83,23118.73,2022298.77,4060033.49,7709507.7,10659461.08,14568151.99,51918744.16,78773271.77,76965977.42,137049298.33,123200783.94
