,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.84,0.95,1.24,1.05,0.94,1.01,1.3,0.94,1.08,1.01,1.19,1.11,0.99,1.01,1.02
f_1,1.21,1.0,0.92,1.06,0.92,0.84,0.9,1.0,0.91,1.06,1.01,0.93,0.88,0.97,0.8,1.12
d_1,1.02,1.08,1.0,0.86,0.99,1.0,0.98,0.94,1.24,0.82,1.04,0.96,1.0,1.02,0.98,0.83
c_1,0.82,0.95,1.2,1.0,1.37,1.04,1.01,0.77,0.95,1.01,0.84,0.92,0.97,0.86,1.01,1.02
b_1,0.97,1.09,1.02,0.75,1.0,1.4,1.03,0.97,1.08,1.2,1.04,1.09,0.99,0.94,1.05,0.98
a_1,1.04,1.19,0.97,0.99,0.72,1.0,1.19,1.09,0.97,0.91,1.09,0.93,1.13,1.16,1.09,1.17
h_1,1.0,1.08,1.02,1.01,0.92,0.79,1.0,0.96,0.98,1.12,0.99,0.97,0.99,1.04,0.91,1.11
d_0,0.8,0.95,1.01,1.28,1.09,0.94,1.02,1.0,0.86,1.07,0.95,1.02,1.1,1.01,1.06,1.18
c_0,1.1,1.13,0.81,1.06,0.92,1.0,1.06,1.07,1.0,1.0,1.24,0.98,0.99,1.19,1.04,1.03
g_1,0.9,0.96,1.21,0.97,0.89,1.08,0.92,0.92,0.98,1.0,1.0,1.14,0.88,0.89,1.15,0.98
b_0,0.97,1.02,0.94,1.13,0.97,0.91,1.06,1.0,0.81,1.03,1.0,0.96,1.04,1.42,0.96,1.0
f_0,0.86,1.07,1.02,1.11,0.92,1.03,1.0,0.98,0.99,0.87,1.02,1.0,1.02,0.99,1.32,0.79
h_0,0.92,1.13,0.99,1.01,1.02,0.93,1.06,0.89,1.0,1.14,0.96,0.95,1.0,0.96,1.0,1.09
a_0,0.96,1.01,1.0,1.11,1.05,0.79,0.97,0.96,0.83,1.11,0.72,1.01,1.12,1.0,0.91,0.94
e_0,1.02,1.23,1.01,0.94,0.89,0.93,1.17,0.97,0.99,0.89,1.11,0.78,1.01,1.06,1.0,0.9
g_0,0.97,0.91,1.18,0.97,1.0,0.85,0.92,0.88,0.97,0.97,1.01,1.19,0.88,1.05,1.14,1.0
