,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,10.86,0.72,0.52,0.98,0.74,0.55,1.03,2.19,0.9,0.86,0.99,1.0,1.13,1.28,0.73,0.86
f_1,1.96,10.37,0.64,0.6,0.56,0.59,0.81,0.9,0.84,0.99,1.0,0.63,0.8,0.9,0.74,0.81
d_1,0.6,0.96,14.05,0.53,0.53,0.67,1.02,0.62,0.92,2.73,1.41,0.94,1.05,1.05,1.02,0.98
c_1,0.51,0.58,0.69,12.99,1.94,0.81,0.81,0.83,0.83,0.42,0.64,0.9,0.96,0.82,0.87,0.89
b_1,0.48,0.61,0.74,0.8,12.31,1.98,0.93,0.75,0.91,0.81,0.57,1.1,0.93,0.7,0.89,1.09
a_1,0.74,0.74,0.83,0.76,0.6,16.94,1.08,0.93,1.17,0.82,0.96,1.14,1.15,0.67,1.27,1.19
h_1,0.7,1.39,0.98,0.67,0.75,0.69,2.92,0.86,1.59,0.96,0.98,1.04,0.66,0.94,0.99,1.37
d_0,0.62,0.71,0.61,2.3,1.04,0.63,0.96,1.95,0.85,0.55,0.97,1.0,1.13,1.04,1.09,1.12
g_1,0.62,0.71,1.85,0.57,0.61,0.66,1.1,0.77,4.31,1.25,1.02,1.83,1.09,1.1,1.59,0.83
c_0,0.76,1.0,1.08,0.64,0.52,0.65,1.3,1.25,0.98,2.22,3.15,1.17,1.03,1.52,1.42,1.42
b_0,0.83,0.89,1.0,0.83,0.52,0.63,1.17,1.07,1.4,1.19,2.67,1.0,1.23,2.91,1.27,1.37
f_0,0.66,0.58,0.81,0.79,0.96,0.91,1.35,1.17,1.31,0.98,1.18,2.92,1.26,0.98,3.66,1.25
h_0,0.86,1.15,0.94,0.79,0.79,0.78,0.65,0.91,1.37,0.89,0.97,0.83,0.62,0.8,1.01,1.44
a_0,0.89,0.88,0.89,0.82,0.73,0.47,1.15,1.12,1.02,0.94,1.32,1.11,1.5,2.77,1.21,1.0
e_0,0.65,1.11,0.95,0.73,0.89,0.64,0.97,0.97,1.02,1.1,1.04,1.06,1.25,0.91,2.7,1.5
g_0,0.69,0.75,1.93,0.76,0.71,0.8,0.94,0.82,0.62,1.08,1.27,1.78,1.0,1.28,1.15,0.85
