,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.68,6.47,6.07,5.85,5.06,6.09,1.91,2.11,2.14,2.03,2.09,,1.36,1.46,1.74,1.59
e_1,3.55,0.68,5.91,5.87,4.2,4.55,2.68,2.89,2.25,2.15,2.26,2.78,1.65,2.2,1.64,
d_1,5.77,6.52,0.66,5.36,4.52,5.04,2.76,1.96,2.74,,1.96,1.93,1.97,1.63,1.21,2.22
c_1,5.42,5.91,7.54,0.65,6.35,5.4,3.17,2.55,,1.34,2.13,2.14,1.67,2.46,1.76,2.04
b_1,6.78,8.5,6.9,4.21,0.61,6.16,2.21,3.67,2.33,2.17,,2.0,2.17,2.64,2.66,1.68
a_1,8.24,10.65,6.61,7.88,5.34,0.57,4.01,,2.36,2.47,3.09,2.56,2.65,,1.61,
h_1,5.28,5.26,5.02,4.61,6.41,3.99,0.62,2.12,1.39,1.79,1.44,1.78,,1.52,1.93,1.79
g_1,6.25,5.59,6.0,4.96,4.98,,1.81,0.58,1.84,2.6,1.81,2.29,1.32,1.77,,1.89
c_0,4.23,4.72,2.88,,6.14,5.58,2.48,2.27,0.7,1.58,2.78,1.6,1.41,2.08,1.12,1.61
d_0,5.18,3.09,,5.57,5.18,4.86,1.92,2.08,2.81,0.71,1.52,1.7,1.49,1.38,1.37,1.48
b_0,6.02,4.44,5.5,6.21,,4.75,2.43,2.16,1.02,2.11,0.69,1.71,1.31,2.31,1.38,1.61
f_0,,4.93,4.85,4.8,5.89,5.37,2.63,1.76,1.93,1.84,2.21,0.67,1.3,1.82,0.96,2.37
h_0,4.73,4.63,3.81,4.41,3.88,3.32,,2.34,1.6,1.77,1.83,1.82,,1.81,1.35,1.29
a_0,7.97,5.86,8.52,4.89,5.41,,2.84,2.8,2.47,3.1,1.26,1.68,1.67,0.62,1.58,1.68
g_0,6.05,6.13,5.62,5.34,4.57,4.91,1.62,,1.94,1.55,1.64,2.59,1.0,1.95,,
e_0,8.69,,5.94,7.07,7.24,,2.86,2.48,2.35,2.4,2.41,1.18,1.84,1.82,,0.6
