,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.27,0.5,0.46,0.59,0.42,0.33,0.85,0.86,0.88,1.99,1.08,1.07,0.93,1.13,0.42,0.91
f_1,0.81,2.27,0.5,0.47,0.42,0.32,0.86,0.68,0.83,0.85,0.9,0.3,0.82,1.05,0.51,0.89
d_1,0.49,0.59,2.32,0.32,0.45,0.36,1.03,0.94,1.87,0.36,1.13,1.01,0.87,1.25,0.79,1.17
c_1,0.51,0.47,0.49,2.51,0.8,0.33,0.85,0.72,0.25,1.02,0.93,0.9,0.74,0.99,0.74,1.18
b_1,0.51,0.51,0.55,0.38,2.62,0.76,0.86,0.78,0.88,0.83,0.27,0.91,0.51,1.28,0.79,1.01
a_1,0.51,0.55,0.45,0.51,0.4,3.11,1.0,0.87,1.2,0.93,0.93,1.06,0.43,1.32,0.71,1.13
h_1,0.52,0.88,0.63,0.58,0.37,0.43,2.91,1.45,1.28,1.04,1.08,1.19,1.09,0.7,1.01,1.49
g_1,0.61,0.53,0.93,0.6,0.42,0.39,1.0,3.1,1.25,1.25,1.03,1.63,0.87,1.5,1.23,0.83
c_0,0.58,0.73,0.73,0.35,0.5,0.33,1.12,1.2,2.67,1.2,2.18,1.49,1.19,1.62,1.2,1.42
d_0,0.64,0.54,0.29,1.27,0.48,0.33,0.99,1.11,0.83,2.62,1.19,1.24,0.95,1.71,0.94,1.35
b_0,0.61,0.71,0.7,0.61,0.24,0.27,1.42,1.24,1.17,1.02,2.7,1.2,2.61,1.88,1.15,1.59
f_0,0.51,0.4,0.66,0.6,0.53,0.43,1.32,1.06,1.4,1.32,1.61,2.69,1.33,1.88,2.42,1.62
a_0,0.61,0.7,0.72,0.58,0.53,0.22,1.19,1.11,1.37,1.11,1.17,1.38,2.88,1.9,1.1,1.1
h_0,0.53,0.94,0.76,0.58,0.54,0.33,0.72,1.29,1.28,1.25,1.12,0.93,1.21,0.8,1.2,1.66
e_0,0.29,0.93,0.59,0.56,0.53,0.57,1.31,0.89,1.35,1.07,1.22,0.89,1.08,1.82,3.31,1.69
g_0,0.46,0.56,0.95,0.56,0.61,0.33,1.24,0.84,1.39,0.89,1.36,1.89,1.44,1.61,0.83,0.85
