,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,9.79,0.81,1.05,0.59,0.65,0.67,0.89,2.47,0.7,0.82,0.82,0.96,0.98,1.02,0.68,0.97
f_1,2.13,10.91,0.66,0.59,0.6,0.63,0.79,1.08,0.82,0.7,0.9,0.67,0.97,0.9,0.71,0.91
c_1,0.53,0.66,11.28,0.68,1.88,0.73,0.77,0.7,0.58,0.91,0.68,0.98,0.71,0.98,0.94,0.93
d_1,0.62,0.79,0.43,13.3,0.61,0.66,1.16,0.53,2.9,1.12,1.63,0.93,1.08,1.09,1.18,0.88
b_1,0.57,0.65,0.83,0.7,11.66,1.53,1.01,0.84,0.8,0.89,0.63,0.86,0.72,0.94,0.94,0.98
a_1,0.72,0.67,0.84,0.89,0.6,18.24,1.11,0.88,0.88,1.06,0.87,1.1,0.93,0.95,1.16,1.27
h_1,0.68,1.26,0.76,0.93,0.72,0.79,3.34,0.79,0.89,1.3,1.16,1.04,1.24,0.65,1.17,1.36
d_0,0.65,0.77,2.58,0.54,0.88,0.58,0.8,2.12,0.66,1.13,0.72,1.03,1.03,1.06,1.01,0.84
c_0,0.72,0.89,0.55,1.06,0.52,0.75,1.31,1.09,2.38,1.22,3.45,1.58,1.63,1.18,1.03,1.14
g_1,0.58,0.56,0.7,1.91,0.76,0.74,0.99,0.65,1.09,4.34,1.17,2.05,1.14,1.06,1.38,0.75
b_0,0.64,0.72,0.74,1.1,0.63,0.85,1.26,0.94,1.3,1.35,2.89,1.24,2.77,1.17,1.19,1.19
f_0,0.55,0.68,0.74,0.9,0.84,0.85,1.23,1.11,1.09,1.26,1.51,2.88,1.32,1.61,3.12,1.15
a_0,0.73,0.88,0.78,0.94,0.66,0.54,1.3,1.06,1.22,1.1,1.23,1.06,2.96,1.29,1.16,1.13
h_0,0.72,1.25,0.74,0.82,0.7,0.8,0.59,0.91,1.14,1.56,1.32,1.11,0.92,0.86,1.21,1.71
e_0,0.58,1.05,0.64,1.18,0.64,0.63,1.42,1.0,1.21,1.2,1.17,1.15,1.36,1.17,2.67,1.45
g_0,0.68,0.73,0.74,1.74,0.67,0.62,1.1,0.75,1.32,0.82,1.06,1.92,0.93,0.99,1.22,0.99
