,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,6.04,0.44,0.68,0.71,0.53,0.59,2.21,2.09,2.81,5.66,3.53,3.01,4.03,2.49,0.68,2.89
d_1,0.63,6.11,0.57,0.48,0.53,0.59,2.15,2.05,5.94,0.56,3.38,3.22,4.49,2.79,3.57,4.24
f_1,1.08,0.65,6.16,0.5,0.52,0.46,2.42,2.23,2.62,3.02,0.4,2.91,3.88,3.57,2.01,4.1
c_1,0.43,0.52,0.62,6.79,1.19,0.55,2.08,1.76,0.5,3.16,3.02,1.45,4.79,2.87,2.89,4.96
b_1,0.6,0.44,0.57,0.57,7.1,1.3,2.36,2.1,2.09,2.84,2.98,0.49,5.52,2.67,3.08,4.02
a_1,0.55,0.6,0.55,0.79,0.63,9.94,1.7,2.57,2.54,2.73,2.41,3.6,3.72,0.5,3.64,4.86
h_1,0.88,1.2,1.46,1.18,0.9,0.73,14.16,4.48,4.59,4.11,4.82,6.38,2.14,4.73,4.59,10.06
g_1,0.94,1.9,0.91,0.59,0.99,0.89,3.79,17.77,5.04,4.04,7.74,5.72,5.33,4.16,5.12,3.16
c_0,1.0,1.25,1.27,0.47,0.9,1.08,4.5,4.51,14.63,3.93,5.4,10.89,6.08,6.99,5.67,8.45
d_0,1.23,0.22,1.07,2.33,1.09,0.65,4.19,2.75,2.82,14.17,4.85,5.22,7.18,4.46,4.37,6.0
f_0,0.9,1.38,0.46,1.03,1.17,0.87,4.32,4.33,6.07,4.71,17.2,6.51,8.89,4.91,12.94,8.87
b_0,0.88,1.7,1.31,1.17,0.28,0.66,4.01,3.81,5.23,4.05,5.5,17.78,9.9,11.84,4.74,6.67
h_0,0.86,1.04,1.5,1.12,0.91,1.04,1.6,6.25,5.17,5.5,4.71,4.89,3.32,6.45,4.65,11.6
a_0,1.09,1.33,1.35,1.13,0.85,,4.52,3.56,4.72,4.75,5.8,5.09,10.5,22.33,5.62,10.18
e_0,0.35,1.49,1.45,1.13,0.81,1.31,4.59,4.16,4.72,5.14,4.8,5.8,9.15,4.22,22.49,7.93
g_0,0.85,1.89,0.83,1.29,0.87,0.93,3.76,1.44,4.28,3.64,6.77,6.28,7.29,5.52,5.86,3.24
