,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.06,3.13,2.26,3.64,3.45,2.23,1.36,1.11,1.34,1.08,0.87,1.05,0.75,0.88,2.19,0.87
d_1,4.58,1.07,3.44,3.12,2.99,2.81,1.2,2.19,0.84,1.07,0.86,1.0,0.62,0.84,0.91,0.55
f_1,4.0,3.2,1.07,3.43,2.97,2.82,0.98,1.03,1.37,0.86,1.05,2.03,0.68,0.91,0.8,0.7
c_1,3.15,4.25,3.6,1.07,4.69,2.62,1.39,0.71,1.16,2.06,0.89,1.01,0.72,0.82,1.05,0.96
b_1,3.95,4.2,4.19,2.24,1.07,4.71,1.57,1.47,1.6,1.27,2.82,1.21,1.14,1.06,1.28,0.84
a_1,7.03,5.65,5.79,5.74,2.8,1.07,1.95,1.49,1.91,1.89,2.1,1.39,1.09,3.5,1.43,1.1
h_1,6.58,7.48,8.18,6.96,6.5,6.78,1.38,1.97,2.95,2.09,1.92,1.74,2.7,1.83,1.48,1.48
d_0,5.14,12.68,8.47,9.49,7.54,9.4,3.9,1.64,3.29,2.44,2.31,2.34,2.05,1.99,1.56,1.94
g_1,8.3,9.19,9.09,9.43,6.94,7.4,2.74,2.44,1.38,2.35,2.75,2.23,1.47,1.84,1.73,2.68
c_0,8.48,5.31,10.08,22.94,8.29,6.92,4.18,3.26,3.2,1.6,3.08,2.26,2.88,2.3,1.94,1.68
b_0,9.96,10.39,9.1,12.11,15.55,8.37,3.3,2.74,3.84,1.87,1.65,2.28,2.66,2.62,1.9,1.89
f_0,8.79,8.58,19.32,11.1,9.8,9.59,4.08,3.45,2.6,2.78,2.73,1.59,2.58,2.95,3.31,1.82
h_0,11.73,12.67,11.78,14.79,10.66,11.37,9.77,3.52,6.54,2.96,2.84,3.55,4.04,2.47,2.42,2.49
a_0,11.7,14.05,12.18,13.14,19.06,,5.05,4.38,5.99,3.62,2.22,3.54,2.95,1.74,2.84,3.16
e_0,15.29,13.37,16.8,14.23,13.59,13.04,4.95,4.95,5.85,4.28,4.69,2.13,3.32,3.42,1.68,3.16
g_0,14.26,13.04,15.79,11.72,14.3,12.52,5.52,4.75,8.69,4.46,4.7,4.71,2.54,3.98,2.9,5.09
