,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.44,1.28,1.0,1.46,1.15,1.2,2.4,4.01,2.41,2.42,2.83,2.78,3.2,3.05,2.6,3.68
f_1,1.75,2.45,1.12,1.29,1.14,1.23,1.8,2.65,2.38,2.5,2.52,1.67,2.88,2.32,2.13,3.07
d_1,1.23,1.38,2.56,0.96,1.34,1.19,2.39,1.96,2.27,4.36,3.06,2.72,3.83,2.7,3.17,2.92
c_1,1.07,1.1,1.44,2.56,1.78,1.09,2.43,2.17,2.35,1.78,2.22,2.96,3.63,2.71,2.86,2.87
b_1,1.18,1.16,1.32,1.12,2.75,1.95,2.36,2.6,2.1,2.58,1.91,2.59,2.86,2.46,2.81,3.58
a_1,1.18,1.24,1.43,1.31,1.07,3.28,2.57,3.06,2.63,2.63,3.25,2.89,3.59,2.02,2.49,3.42
h_1,1.34,1.94,1.37,1.2,1.09,1.19,4.08,2.69,3.04,2.44,3.15,2.77,3.03,3.18,2.49,4.23
d_0,1.25,1.41,0.98,2.27,1.19,1.3,2.77,3.9,2.53,2.29,2.96,3.03,3.5,2.41,2.93,4.05
g_1,1.18,1.21,1.79,1.28,1.54,1.19,2.53,2.87,4.49,2.66,2.81,4.36,3.42,3.04,2.83,3.1
c_0,1.44,1.5,1.31,1.15,1.11,1.24,2.97,3.11,2.59,4.28,5.0,3.4,3.52,3.48,3.34,3.73
b_0,1.34,1.61,1.39,1.58,0.91,1.16,2.62,3.04,2.73,2.35,4.19,2.92,3.86,5.54,3.22,3.72
f_0,1.26,1.16,1.6,1.33,1.49,1.2,3.31,2.76,2.46,2.71,3.5,4.48,3.39,3.49,5.66,3.57
h_0,1.13,1.69,1.32,1.27,1.46,1.32,2.12,2.83,3.13,3.08,3.17,3.34,2.99,2.89,2.96,4.34
a_0,1.28,1.53,1.58,1.44,1.15,1.29,2.95,3.05,3.04,2.99,2.62,2.81,4.17,5.06,3.62,3.79
e_0,0.95,1.67,1.33,1.5,1.3,1.43,3.54,3.11,2.65,2.93,3.42,2.53,4.34,3.15,5.05,4.04
g_0,1.13,1.1,1.89,1.56,1.28,1.3,2.67,2.45,1.66,2.78,3.44,4.33,3.28,2.74,3.25,3.34
