,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.82,1.04,1.79,1.9,3.6,17.52,23.82,30.09,44.39,42.95,61.62,81.87,94.7,123.13,149.18
f_1,1.23,1.0,1.02,1.6,1.8,3.56,12.79,22.51,27.28,32.81,40.26,42.85,71.25,70.55,69.89,129.35
d_1,0.95,0.99,1.0,1.2,1.8,3.41,14.74,18.44,37.65,30.89,39.25,47.73,66.11,77.54,107.75,107.49
c_1,0.56,0.64,0.83,1.0,1.6,2.41,10.26,13.33,15.95,15.17,24.68,31.8,47.22,50.02,71.1,89.51
b_1,0.52,0.55,0.55,0.63,1.0,3.03,10.4,13.23,17.31,17.8,19.69,28.42,33.79,49.7,59.6,71.85
a_1,0.27,0.28,0.29,0.41,0.33,1.0,4.69,6.77,9.46,9.75,12.26,13.85,21.38,29.47,27.21,40.2
h_1,0.06,0.08,0.07,0.1,0.09,0.21,1.0,1.62,1.91,1.99,2.27,2.96,4.34,5.27,6.3,9.17
g_1,0.04,0.04,0.05,0.07,0.08,0.15,0.62,1.0,1.38,1.45,1.75,2.83,3.19,3.56,5.44,6.13
c_0,0.03,0.04,0.03,0.06,0.06,0.1,0.54,0.73,1.0,1.25,1.81,1.7,2.48,2.97,3.92,4.44
d_0,0.02,0.03,0.03,0.07,0.06,0.1,0.52,0.69,0.82,1.0,1.27,1.55,2.39,2.79,3.65,4.75
b_0,0.02,0.03,0.03,0.04,0.05,0.07,0.45,0.56,0.54,0.75,1.0,1.14,2.58,2.3,2.66,3.29
f_0,0.02,0.02,0.02,0.03,0.03,0.07,0.33,0.36,0.59,0.65,0.91,1.0,1.55,1.93,3.65,2.41
a_0,0.01,0.01,0.01,0.02,0.03,0.05,0.24,0.31,0.41,0.41,0.4,0.68,1.0,1.18,1.48,1.46
h_0,0.01,0.01,0.01,0.02,0.02,0.04,0.2,0.28,0.34,0.35,0.41,0.51,0.83,1.0,1.18,1.71
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.17,0.18,0.27,0.29,0.38,0.29,0.67,0.84,1.0,1.23
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.11,0.16,0.23,0.21,0.31,0.44,0.64,0.58,0.8,1.0
