,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.49,0.45,0.44,0.51,0.47,0.34,0.66,0.49,0.86,0.41,0.56,0.48,0.57,0.49,0.39,0.3
f_1,0.74,1.51,0.4,0.44,0.38,0.37,0.5,0.51,0.59,0.66,0.53,0.26,0.48,0.47,0.36,0.42
d_1,0.5,0.52,1.54,0.38,0.47,0.33,0.51,0.43,0.35,0.91,0.57,0.53,0.64,0.47,0.5,0.44
c_1,0.46,0.48,0.55,1.55,0.66,0.37,0.6,0.49,0.47,0.28,0.33,0.47,0.65,0.55,0.47,0.39
b_1,0.44,0.55,0.48,0.44,1.58,0.59,0.44,0.48,0.56,0.69,0.34,0.58,0.72,0.57,0.42,0.47
a_1,0.55,0.53,0.46,0.53,0.46,1.75,0.64,0.59,0.62,0.44,0.61,0.55,0.6,0.61,0.26,0.39
h_1,0.63,0.92,0.8,0.68,0.79,0.51,1.66,0.83,0.83,0.72,0.87,0.98,0.5,1.02,0.81,0.79
g_1,0.69,0.76,1.05,0.82,0.6,0.52,0.86,1.76,0.73,0.68,0.74,1.2,0.83,0.58,0.8,0.77
d_0,0.68,0.82,0.39,1.21,0.81,0.6,0.87,0.9,1.48,0.68,0.75,1.05,1.0,0.91,0.73,0.83
c_0,0.95,0.75,0.75,0.54,0.49,0.72,1.1,1.08,1.07,1.54,1.72,1.04,0.91,1.25,0.81,0.58
b_0,0.76,0.83,0.82,1.13,0.41,0.58,1.09,0.88,1.04,0.6,1.58,0.82,1.06,1.03,1.22,0.84
f_0,0.74,0.62,0.88,0.87,0.71,0.64,0.82,0.85,0.89,0.88,1.01,1.58,1.15,1.09,0.91,1.44
h_0,0.75,1.24,0.76,0.76,0.67,0.69,0.64,0.99,0.97,0.89,0.83,0.75,0.59,1.14,0.83,0.76
g_0,0.72,0.82,1.29,0.77,0.78,0.64,0.88,0.48,0.8,0.66,0.94,1.08,0.93,0.65,0.68,0.69
a_0,0.9,0.96,0.83,0.94,0.72,0.63,0.95,0.86,1.02,1.16,0.94,0.92,1.25,1.17,1.68,0.7
e_0,0.49,0.89,0.84,1.03,0.84,0.81,1.03,0.9,0.97,1.14,0.97,0.93,1.08,1.07,0.9,1.72
