,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.41,1.07,1.26,1.48,1.28,1.11,2.5,2.55,4.26,2.64,2.88,2.86,3.27,3.11,2.23,3.53
f_1,1.98,2.42,1.07,1.17,1.04,1.02,2.13,2.14,2.53,2.18,2.06,2.57,3.02,2.66,1.59,3.04
d_1,1.08,1.4,2.61,1.1,1.22,1.35,2.3,2.03,1.75,4.51,2.36,2.87,3.14,2.57,3.15,2.88
c_1,1.07,1.26,1.26,2.63,1.99,1.04,2.54,2.2,2.1,1.54,2.39,2.1,3.27,2.38,2.46,3.22
b_1,1.16,1.29,1.15,1.06,2.74,2.05,2.45,2.63,2.53,2.81,2.89,1.95,3.26,2.31,3.06,3.03
a_1,1.28,1.41,1.22,1.34,0.99,3.28,2.15,2.18,2.64,2.68,2.77,3.18,4.45,2.7,2.38,3.63
h_1,1.24,1.69,1.5,1.15,1.33,1.26,3.96,3.48,2.63,2.88,2.89,2.86,2.81,3.18,3.3,4.1
g_1,1.18,1.25,2.03,1.33,1.18,1.35,2.18,4.4,2.36,2.8,4.12,3.25,3.47,3.28,3.42,2.96
d_0,1.03,1.38,0.98,2.43,1.48,1.4,2.6,2.81,4.02,2.18,3.01,3.23,3.32,2.65,3.18,3.88
c_0,1.26,1.62,1.2,1.07,1.13,1.44,2.7,2.86,3.28,4.19,3.09,5.77,3.78,3.37,4.01,4.18
f_0,1.15,1.15,1.52,1.48,1.31,1.26,2.68,2.58,2.82,3.1,4.41,3.27,4.05,3.26,6.4,3.55
b_0,1.35,1.51,1.32,1.55,0.96,1.16,2.69,2.56,2.93,2.08,3.4,4.29,3.94,5.78,3.7,4.63
h_0,1.27,1.79,1.45,1.47,1.25,1.02,2.42,3.12,2.57,2.82,2.79,2.99,2.94,2.81,3.23,4.48
a_0,1.27,1.56,1.56,1.35,1.37,0.67,3.01,2.45,2.7,3.02,3.65,2.37,4.69,5.01,3.56,4.23
e_0,1.09,1.62,1.45,1.61,1.39,1.52,2.77,2.78,2.78,2.88,2.16,2.91,3.58,2.88,5.13,3.85
g_0,1.17,1.18,1.96,1.42,1.37,1.27,2.69,2.47,2.69,2.67,4.06,2.79,3.33,2.69,3.42,3.33
