,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.17,0.41,0.5,0.42,0.44,0.43,0.09,0.1,0.15,0.09,0.09,0.14,0.05,0.09,0.09,0.06
e_1,0.28,0.17,0.52,0.52,0.49,0.42,0.13,0.11,0.16,0.11,0.1,0.12,0.07,0.1,0.18,0.09
c_1,0.49,0.37,0.15,0.55,0.44,0.43,0.13,0.06,0.12,0.13,0.09,0.09,0.07,0.08,0.09,0.06
d_1,0.48,0.58,0.5,0.15,0.5,0.35,0.11,0.15,0.07,0.08,0.09,0.08,0.05,0.08,0.07,0.04
b_1,0.54,0.44,0.24,0.55,0.13,0.51,0.17,0.1,0.14,0.14,0.2,0.11,0.07,0.1,0.09,0.07
a_1,0.56,0.44,0.42,0.49,0.23,0.09,0.17,0.11,0.14,0.1,0.18,0.1,0.08,0.17,0.09,0.06
h_1,0.38,0.39,0.4,0.42,0.39,0.37,0.05,0.09,0.12,0.09,0.08,0.09,0.08,0.07,0.08,0.06
d_0,0.37,0.26,0.44,0.53,0.43,0.38,0.14,0.06,0.13,0.09,0.09,0.08,0.07,0.09,0.08,0.08
g_1,0.47,0.41,0.43,0.37,0.42,0.31,0.09,0.09,0.04,0.08,0.08,0.07,0.05,0.07,0.08,0.08
c_0,0.44,0.44,0.76,0.22,0.46,0.37,0.12,0.12,0.1,0.05,0.08,0.09,0.07,0.08,0.08,0.07
b_0,0.37,0.41,0.56,0.29,0.67,0.4,0.11,0.09,0.11,0.05,0.04,0.09,0.07,0.07,0.07,0.06
f_0,0.54,0.41,0.42,0.44,0.32,0.36,0.11,0.1,0.06,0.09,0.08,0.04,0.06,0.07,0.07,0.04
h_0,0.38,0.44,0.41,0.37,0.4,0.31,0.14,0.1,0.12,0.07,0.08,0.07,0.08,0.08,0.07,0.06
a_0,0.38,0.4,0.36,0.36,0.49,0.57,0.1,0.09,0.13,0.07,0.04,0.09,0.06,0.04,0.08,0.05
e_0,0.54,0.49,0.36,0.36,0.37,0.38,0.11,0.08,0.08,0.08,0.08,0.04,0.06,0.07,0.03,0.05
g_0,0.41,0.4,0.42,0.4,0.41,0.35,0.08,0.09,0.14,0.08,0.08,0.08,0.04,0.08,0.07,0.07
