,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.08,2.41,2.01,2.19,2.32,2.02,0.51,0.47,0.5,0.64,0.41,0.51,0.38,0.24,0.37,0.36
c_1,2.48,1.08,1.98,2.53,3.26,2.24,0.6,0.32,0.67,0.75,0.47,0.46,0.48,0.36,0.47,0.36
e_1,1.77,2.72,1.09,2.68,2.45,2.38,0.74,0.61,0.55,0.78,0.56,0.69,0.46,0.39,0.75,0.46
b_1,3.11,1.76,2.72,1.1,2.92,2.86,0.88,0.49,0.79,0.86,0.81,0.58,0.63,0.41,0.51,0.42
d_1,2.85,2.8,3.32,2.65,1.09,2.49,0.75,0.89,0.56,0.48,0.59,0.55,0.65,0.39,0.48,0.26
a_1,4.41,4.41,4.94,2.35,4.16,1.12,1.33,1.23,0.91,1.37,1.06,0.8,1.26,0.61,0.82,0.59
h_1,9.93,11.28,8.68,9.85,9.61,8.61,1.57,2.21,2.27,3.21,1.98,2.01,1.9,2.07,1.84,1.34
d_0,11.72,12.16,7.07,11.95,15.05,11.23,3.44,1.78,2.57,3.33,2.1,2.26,2.08,1.5,2.52,1.61
c_0,12.98,20.06,12.74,13.0,7.15,10.77,3.69,4.01,1.69,2.94,2.35,2.3,2.91,1.81,2.58,1.44
g_1,11.65,12.56,12.27,11.51,12.17,10.49,2.63,2.81,2.8,1.61,2.41,2.44,2.17,1.33,2.54,2.04
b_0,13.74,22.13,14.26,20.61,11.93,14.16,4.36,4.23,1.89,3.65,1.84,2.85,2.71,1.94,2.73,1.8
f_0,22.6,18.05,16.27,15.13,12.03,13.17,4.39,3.33,3.08,3.07,3.18,1.92,3.33,2.4,2.94,1.45
a_0,18.76,23.66,18.83,26.1,17.07,22.71,6.05,4.65,3.2,5.49,2.07,4.04,2.06,2.76,3.56,2.76
h_0,18.48,20.79,19.48,21.31,19.97,17.82,6.45,3.87,3.98,4.79,3.58,3.76,3.48,3.27,3.45,2.51
e_0,29.78,22.72,35.27,19.95,20.5,19.88,6.8,4.71,4.7,5.78,4.79,2.46,4.47,3.16,2.17,2.21
g_0,23.9,23.99,23.27,23.73,21.67,19.32,5.53,5.21,4.7,8.13,4.39,4.58,5.24,2.54,4.12,3.67
