,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.17,6.79,13.8,12.07,14.09,12.94,3.99,4.81,2.38,2.6,3.02,2.43,3.07,1.78,,2.06
f_1,13.4,0.17,14.19,13.43,12.82,14.96,2.86,4.36,2.57,1.88,2.11,,2.53,1.17,2.96,1.98
d_1,15.58,11.48,0.16,10.18,12.87,13.84,3.66,2.17,2.57,,3.05,3.03,2.83,1.85,2.58,1.15
c_1,11.21,18.08,13.47,0.16,13.35,11.25,3.47,2.4,,1.31,3.21,2.46,2.3,2.28,4.34,1.74
b_1,16.79,12.45,13.7,7.26,0.15,12.51,3.05,4.02,3.39,2.36,,2.28,3.94,1.94,1.84,1.74
a_1,13.56,12.36,16.29,14.2,8.34,0.1,3.28,4.59,2.79,2.11,3.46,2.48,,1.98,,2.03
h_1,3.29,3.06,2.56,3.05,4.14,2.91,0.08,0.73,0.77,0.67,0.61,0.67,0.67,,1.11,0.53
g_1,3.1,4.17,4.25,4.55,2.82,3.24,0.77,0.06,0.64,0.71,0.86,0.89,0.75,0.28,0.57,
c_0,2.81,2.37,1.22,,3.02,3.54,0.79,0.94,0.08,0.72,0.39,0.47,0.57,0.34,0.43,0.34
d_0,1.47,2.85,,2.21,2.59,2.54,0.6,0.9,0.75,0.08,0.89,0.46,0.45,0.28,0.34,0.42
b_0,2.49,2.56,2.49,3.49,,3.03,0.66,0.71,0.26,0.66,0.07,0.47,0.62,0.35,0.41,0.42
f_0,3.24,,2.8,2.31,2.28,2.62,0.61,0.49,0.4,0.55,0.66,0.07,0.65,0.51,,0.19
a_0,2.53,2.15,2.98,3.07,3.01,,0.86,0.94,0.57,0.69,0.21,0.83,0.05,0.38,0.54,
h_0,1.42,1.67,1.99,2.38,1.35,1.76,,0.43,0.29,0.39,0.25,0.48,0.29,,,0.22
e_0,,2.79,3.26,2.17,2.11,,0.7,0.7,0.59,0.64,0.57,,0.54,,0.05,0.22
g_0,2.6,3.09,1.72,1.95,1.74,1.49,0.34,,0.33,0.35,0.35,0.32,,0.14,0.33,
